"LAMINGTON (COWGILL RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5165,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.09,7.50,4.46,3.61,3.80,4.23,6.00,5.40,7.85,1.25,5.14,
February,4.61,0.93,4.05,6.84,0.85,5.49,3.75,1.73,3.87,1.30,0.34,
March,3.16,5.92,2.17,1.92,0.53,1.93,3.11,3.45,4.80,0.60,1.93,
April,2.68,1.31,2.03,3.42,2.80,5.20,2.60,2.78,1.10,1.18,1.20,
May,5.10,1.95,2.66,2.80,4.25,5.25,4.44,1.75,1.63,2.50,1.20,
June,1.62,0.69,2.37,1.53,1.61,0.39,3.79,3.10,4.11,1.70,2.25,
July,3.82,3.80,4.42,4.40,4.50,2.32,3.75,3.27,2.62,2.72,3.60,
August,5.81,7.72,3.05,7.62,4.59,3.57,3.50,6.12,5.46,5.90,5.76,
September,3.24,1.69,2.39,5.40,4.50,4.00,3.65,6.27,2.45,0.72,2.75,
October,2.30,3.38,2.42,5.07,3.33,6.43,4.48,4.90,5.30,4.76,5.20,
November,3.49,1.74,2.55,3.75,2.15,1.84,5.10,3.60,3.73,4.47,4.20,
December,3.96,6.07,3.68,3.76,6.10,3.95,1.33,1.50,2.75,7.48,2.96,
Total,46.88,42.70,36.25,50.12,39.01,44.60,45.50,43.87,45.67,34.58,36.53,
Calc annual,46.88,42.70,36.25,50.12,39.01,44.60,45.50,43.87,45.67,34.58,36.53,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
