"EXETER HEAVITREE",,,,,,,,,,,,
Grid ref,SX943920,Long,-3.498646,Lat,50.717985,,,,,,,
Station no,1770/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,2.35,0.35,1.74,4.58,3.27,2.31,3.16,4.42,3.54,,
February,4.17,0.52,1.44,2.68,2.49,0.16,4.64,3.61,0.26,4.02,,
March,3.37,2.23,0.63,2.87,1.47,1.08,2.93,1.53,4.34,2.40,,
April,1.68,2.57,2.63,0.02,0.92,0.89,0.09,0.44,2.82,3.18,,
May,2.25,2.37,2.28,2.26,3.22,0.74,1.91,2.56,0.93,1.72,,
June,0.84,1.46,1.56,3.79,3.11,1.27,2.18,3.47,1.00,0.80,,
July,1.86,0.93,1.99,2.18,3.36,3.22,2.31,2.48,1.83,3.24,,
August,2.69,4.35,1.93,1.79,1.14,2.59,2.04,2.93,2.50,3.38,,
September,3.39,2.35,2.60,1.96,0.87,5.97,2.14,3.11,0.19,6.72,,
October,1.14,4.49,3.18,1.93,1.41,2.12,1.63,2.92,3.16,11.37,,
November,5.22,3.31,1.97,7.06,3.91,1.41,2.21,3.04,7.84,3.41,,
December,2.40,2.79,0.71,3.29,4.88,4.75,2.48,4.60,6.78,3.43,,
Total,31.86,29.72,21.27,31.57,31.36,27.47,26.87,33.85,36.07,47.21,,
Calc annual,31.86,29.72,21.27,31.57,31.36,27.47,26.87,33.85,36.07,47.21,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
