EXETER-HEAVITREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX943920,Long,-3.498646,Lat,50.717985,Elevation,112,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1770/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,5.02,3.88,7.29,1.89,3.07,3.19,3.97,5.45,0.55,0.77,2.85,2.35,0.35,1.74,4.58,3.27,2.31,3.16,4.42,3.54
February,,,,,,,,,,,3.42,0.32,1.6,0.48,1.53,2.48,1.65,0.99,1.49,5.28,4.17,0.52,1.44,2.68,2.49,0.16,4.64,3.61,0.26,4.02
March,,,,,,,,,,,2.48,2.72,1.17,0.13,0.46,1.16,6.99,1.16,1.81,1.31,3.37,2.23,0.63,2.87,1.47,1.08,2.93,1.53,4.34,2.4
April,,,,,,,,,,2.93,1.08,1.45,0.83,1.83,0.6,2.57,1.89,2.47,1.42,1.84,1.68,2.57,2.63,0.02,0.92,0.89,0.09,0.44,2.82,3.18
May,,,,,,,,,,1.33,2.34,5.72,2.81,0.46,3.3,5.42,3.2,2.43,2.03,2.33,2.25,2.37,2.28,2.26,3.22,0.74,1.91,2.56,0.93,1.72
June,,,,,,,,,,1.27,1.34,0.62,1.32,1.61,2.08,1.99,2.47,1.51,0.82,0.71,0.84,1.46,1.56,3.79,3.11,1.27,2.18,3.47,1,0.8
July,,,,,,,,,,2.8,0.71,1.2,2.39,1.77,2.05,1.55,1.46,1.21,2.73,4.03,1.86,0.93,1.99,2.18,3.36,3.22,2.31,2.48,1.83,3.24
August,,,,,,,,,,0.17,3.28,3.08,2.07,4.09,1.82,3.82,0.96,3.06,1.08,4.1,2.69,4.35,1.93,1.79,1.14,2.59,2.04,2.93,2.5,3.38
September,,,,,,,,,,1.39,0.98,2.53,2.98,1.86,2.08,5.97,2.16,0.95,3.3,3.57,3.39,2.35,2.6,1.96,0.87,5.97,2.14,3.11,0.19,6.72
October,,,,,,,,,,4.17,1.45,2.45,3.62,3.95,3.67,2.06,0.95,2.92,5.81,1.28,1.14,4.49,3.18,1.93,1.41,2.12,1.63,2.92,3.16,11.37
November,,,,,,,,,,6.21,2.68,0.98,2.62,4.88,1.28,5.61,1.82,1.99,4.64,6.07,5.22,3.31,1.97,7.06,3.91,1.41,2.21,3.04,7.84,3.41
December,,,,,,,,,,3.28,2.18,4.22,2.86,2.88,5.6,3.96,2.48,5.36,0.92,3.66,2.4,2.79,0.71,3.29,4.88,4.75,2.48,4.6,6.78,3.43
Total,,,,,,,,,,,26.96,29.17,31.56,25.83,27.54,39.78,30,29.5,26.6,34.95,31.86,29.72,21.27,31.57,31.36,27.47,26.87,33.85,36.07,47.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Mar Tree SW removed at end of month ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Heavitree SRC_ID 8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
