"ENNISKILLEN PORTORA",,,,,,,,,,,,
Grid ref,IH2240044800,Long,-7.656221,Lat,54.351521,,,,,,,
Station no,6187,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.13,3.56,2.27,4.06,2.08,3.21,4.17,,
February,,,,3.74,5.21,2.97,3.13,3.07,3.09,2.31,,
March,,,,6.25,2.86,4.47,2.58,4.43,4.14,3.18,,
April,,,,1.65,2.95,1.93,2.15,2.13,2.31,4.27,,
May,,,,2.46,1.97,1.72,3.90,3.55,2.96,3.03,,
June,,,,2.35,1.66,2.20,0.84,5.91,2.27,1.48,,
July,,,,4.88,4.27,1.42,2.42,2.33,2.27,3.28,,
August,,,,5.13,4.35,5.70,4.70,3.80,2.90,1.96,,
September,,,,3.60,3.12,1.78,2.10,1.19,5.95,3.13,,
October,,,,6.10,2.57,2.14,4.91,4.07,1.34,5.68,,
November,,,,2.55,3.24,3.02,2.87,2.33,3.41,2.53,,
December,,,2.98,3.22,3.42,2.89,3.85,3.48,3.24,3.99,,
Total,,,,47.06,39.18,32.51,37.51,38.37,37.09,39.01,,
Calc annual,0.00,0.00,2.98,47.06,39.18,32.51,37.51,38.37,37.09,39.01,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
