ST JAMES CHURCH WHITEHAVEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NX976184,Long,-3.5835,Lat,54.5507,Elevation,101,ft,,,,,,,,,,,,
Station no,RR2219,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,2.77,3.29,1.36,3.3,3.52,2.8,7.18,5,3.36,,,,,,
February,,,,,,2.03,0.96,1.37,6.4,1.42,3.11,2.43,2.53,1.55,,,,,,
March,,,,,,2.85,2.15,1.1,3.5,0.44,0.55,3.1,0.16,0.89,,,,,,
April,,,,,,1.77,2.13,1.88,0.29,1.1,2.31,1.79,1.11,1.85,,,,,,
May,,,,,,0.99,1.62,2.97,1.45,2.34,0.82,0.68,3.64,0.08,,,,,,
June,,,,,,3.17,1.68,2.41,3.04,0.76,1.23,2.76,2.56,2.62,,,,,,
July,,,,,,1.98,6.99,0.82,2.44,3.62,4.13,2.17,2.33,3.33,,,,,,
August,,,,,,5.1,3.32,2.81,4.19,4.04,3.07,3.35,4.53,2.39,,,,,,
September,,,,,,2.41,2.16,2.37,1.72,2.04,2.16,2.12,1.53,1.82,,,,,,
October,,,,,,4.85,6.12,3.84,4.63,3.94,2.21,3.04,2.27,4.06,,,,,,
November,,,,,,2.35,3.76,5.39,2.19,3.46,4.15,2.11,3.05,2.95,,,,,,
December,,,,,,3.22,1.24,4.39,3.19,1.54,2.1,1.38,7.25,0.28,,,,,,
Total,,,,,27.86,33.49,35.42,30.71,36.34,28.22,28.64,32.11,35.96,25.18,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge 78' above ground so assume on church tower,,,,,,,,,,,,,,,,,,,,
