HAWKSHEAD HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD334987,Long,-3.0268652,Lat,54.379423,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3030/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,4.18,14.32,10.92,13.9,8.04,13.58,4.23,9.85,10.47,13.18,11.23,4.62,2.35,8.49,15.22,13.23,8.06,13.36,8.65,14.4,7.69,
February,,,,,,,,,,1.88,1.19,10.34,0.25,9.6,0.69,14.12,3.37,11.57,4.98,11.24,3,9.57,2.96,6.32,3.95,10.33,7.91,1.24,7.62,8.11,
March,,,,,,,,,,2.39,5.81,1.18,6.64,6.29,5.88,2.7,5.45,2.82,6.4,6.04,10.09,5,6.52,3.3,1.4,6.5,5.25,9.62,6.87,3.92,
April,,,,,,,,,,3.2,3.49,4.25,7.77,3.83,4.88,5.67,1.46,5.17,1.38,4.58,3.68,2.41,4.22,4.39,5.49,4.17,2.27,9.05,4,9.93,
May,,,,,,,,,3.4,4.62,3.49,5.1,6.44,4.24,6.47,0.76,1.14,3.05,7.55,1.4,1.47,5.88,6.22,7.59,4.55,5.8,2.08,4.57,3.03,3.95,
June,,,,,,,,,11.7,3.06,3.41,10.23,2.48,3.36,3.57,8.57,6.07,5.06,8.73,5.64,1.21,0.95,1.63,5.45,7.47,5.99,7.38,5.65,9.26,1.51,
July,,,,,,,,,10.28,7.17,4.57,9.92,7.1,6.23,3.06,4.12,6.66,4.68,12.66,12.02,6.78,2.21,6.66,7.23,4.72,6.06,6.54,5.37,4.15,4.47,
August,,,,,,,,,9.1,10.01,12.94,5.79,2.13,5.74,7.73,5.99,6.13,4.53,5.08,2.51,3.13,8.61,8.36,13.14,6.37,3.04,8.69,0.16,10.06,4.92,
September,,,,,,,,,5.52,3.54,5.38,3.05,10.34,1.28,11.79,13.68,9.07,6.15,4.76,5.27,8.36,2.5,9.32,9.42,9.88,8.64,15.59,6.42,10.86,2.32,
October,,,,,,,,,12.75,10.76,15.6,7.66,14.32,6.29,13.88,14.36,8.78,4.16,22.02,3.54,9.37,9.93,11.73,10.28,9,10.15,0.89,1.42,6.68,9.94,
November,,,,,,,,,20.34,19.33,10.09,14.94,7.95,2.67,2.09,8.53,9.25,2.72,13.58,14.14,11.25,6.87,2.84,6.43,14.33,0.63,15.24,15.41,8.56,12.97,
December,,,,,,,,,8.62,16.21,10.16,8.92,14.75,1.69,12.45,6,12.61,7.47,8.64,5.02,9.94,6.16,12.56,4.22,9.84,6.1,10.55,5.43,8.86,15.36,
Total,,,,,,,,,,86.35,90.45,92.3,94.07,59.26,86.07,88.73,79.84,67.85,108.96,82.63,72.9,62.44,81.51,92.99,90.23,75.47,95.75,72.99,94.35,85.09,
