GOUROCK (LEVAN FARM),,,,,,,,,,,,,,,,,,,,
Grid ref,NS 21726 76010,Long,-4.856232,Lat,55.943964,Elevation,221,ft,,,,,,,,,,,,
Station no,5316/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,8.56,2.45,5.57,7.47,8.7,4.64,4.87,0.76,9.69,6.05,7.95,,,,,,
February,,,,0.97,8.31,2.87,6.4,3.75,6.93,3.16,4.68,2.91,5.9,2.05,,,,,,
March,,,,3.1,2.81,3.33,1.67,7.01,3.93,4.91,3.77,5.04,4.42,1.09,,,,,,
April,,,,4.48,3.69,1.52,2.99,0.75,3.72,4.13,2.52,3.2,4.72,3.64,,,,,,
May,,,,4.55,0.65,2.98,1.67,5,1.15,1.07,2.23,3.25,4.66,4.52,,,,,,
June,,,,3.47,4.19,2.23,3.9,7.5,2.32,1.28,1.35,2.97,4.09,4.77,,,,,,
July,,,,3.27,2.35,6.7,6.12,4.86,6.01,3.65,3.69,3.02,3.43,5,,,,,,
August,,,,4.91,2.73,3.66,5.01,2.9,2.08,2.89,4.98,5.84,8.65,4.11,,,,,,
September,,,0.9,6.83,7.19,4.15,4.4,5.76,3.26,4.83,2.1,7.2,4.71,5.56,,,,,,
October,,,3.55,8.45,12.86,7.24,3.44,10.19,3.93,7.75,7.02,7.87,11.39,5.12,,,,,,
November,,,3.07,2.95,4.81,4.73,1.47,10.92,10.71,7.54,5.58,1.44,4.1,9.28,,,,,,
December,,,1.61,8.13,4.12,8.16,4.1,5.47,3.37,7.2,3.76,7.69,3.04,6.53,,,,,,
Total,,,,59.67,56.16,53.14,48.64,72.81,52.05,53.28,42.44,60.12,65.16,59.62,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5316/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,649785,,,,,,,,,,,,,,,,,,,
