THORNTON CURTIS VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA088179,Long,-0.356,Lat,53.646,Elevation,66,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.66,0.82,1.53,2.45,1.43,1.24,1.02,1.61,3.66,0.73,2.46,0.74,1.75,2.42,0.72,1.16,1.80,1.76,0.38,2.76,0.90,1.31,0.83,1.71,1.35,2.82,3.27,1.83,3.06,0.64,2.94,1.36,3.20
February,0.47,1.39,2.46,0.82,0.00,1.73,2.49,2.48,0.81,0.68,2.70,1.32,1.20,3.39,1.97,1.14,1.02,2.71,0.98,2.19,1.63,1.79,0.79,1.90,1.58,1.24,0.65,0.89,3.27,3.51,0.73,1.72,1.88
March,1.48,2.28,2.66,1.44,1.80,1.05,0.64,0.96,2.07,1.83,2.99,1.45,1.50,0.53,1.61,1.51,2.51,1.66,2.51,1.70,1.42,2.26,3.39,0.69,2.26,2.79,2.78,1.97,1.17,2.92,1.69,0.94,2.48
April,1.65,2.24,2.14,0.28,2.07,1.74,0.30,1.44,1.27,0.87,1.57,2.65,2.34,1.33,1.63,1.23,1.91,1.14,1.84,1.06,1.75,2.06,1.85,2.47,1.48,0.17,1.54,0.62,0.63,1.46,1.62,1.57,1.82
May,1.66,0.72,4.88,2.31,3.08,3.27,1.05,1.50,0.76,0.65,1.79,2.31,2.95,1.60,0.92,2.50,2.41,1.85,0.57,1.76,3.98,1.36,0.97,2.20,0.54,2.86,1.86,2.17,1.41,2.78,1.56,2.19,1.01
June,0.02,1.97,0.37,2.26,1.83,4.28,1.38,4.29,2.04,2.58,2.36,1.52,1.76,2.60,2.02,2.60,1.63,0.69,2.01,1.70,2.92,1.07,2.83,2.27,3.73,4.71,0.73,2.40,0.24,2.79,1.39,0.30,0.80
July,1.23,5.64,1.71,1.63,2.73,1.61,2.25,2.90,5.11,1.54,0.03,1.23,2.18,1.38,0.93,2.80,2.24,2.88,1.25,1.28,1.36,3.23,3.48,4.09,0.52,3.96,0.31,2.07,5.37,1.50,0.92,3.35,2.27
August,1.81,2.24,2.83,3.10,3.73,3.25,1.01,2.53,3.32,1.99,2.66,3.69,0.73,4.95,5.33,2.59,4.70,4.78,2.75,1.27,1.32,1.76,6.09,2.89,1.37,4.61,1.29,1.74,1.93,2.43,5.88,2.11,2.57
September,1.84,2.05,1.26,0.47,1.37,1.54,2.06,0.83,1.17,3.93,3.77,0.25,2.40,1.47,0.64,0.74,3.48,1.91,1.75,0.86,0.63,1.74,1.69,0.30,2.63,1.97,1.80,1.28,1.33,1.03,0.79,4.30,1.19
October,2.79,0.98,4.09,0.93,3.82,5.04,1.24,4.33,2.74,6.31,1.58,3.57,2.64,2.69,2.06,3.09,5.75,0.52,2.20,5.79,4.10,0.87,3.52,2.42,1.85,2.99,2.80,2.40,1.27,2.65,3.08,1.31,
November,1.98,3.02,0.54,2.98,3.08,1.16,3.35,1.83,2.38,1.26,3.39,2.36,0.97,2.49,2.82,1.19,1.49,1.56,2.65,3.30,2.23,1.35,0.70,2.88,2.92,2.97,2.23,2.25,2.24,3.08,1.44,1.50,
December,1.08,1.97,1.20,0.60,2.77,1.19,2.18,2.02,2.34,4.10,1.55,2.09,2.97,2.84,3.77,1.99,0.75,1.54,0.60,1.99,2.40,1.53,4.22,2.78,3.48,2.43,1.35,5.01,4.79,2.65,1.44,3.30,
Total,17.67,25.32,25.67,19.27,27.71,27.10,18.97,26.72,27.67,26.47,26.85,23.18,23.39,27.69,24.42,22.54,29.69,23.00,19.49,25.66,24.64,20.33,30.36,26.60,23.71,33.52,20.61,24.63,26.71,27.44,23.48,23.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
