WILPSHIRE BROOKLYN ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD684321,Long,-2.4810698,Lat,53.784257,Elevation,408,ft,,,,,,,,,,,,,
Station no,2963,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.14,7.38,3.5,3.8,3.66,3.26,4.03,4.6,10.28,1.82,5.92,5.08,5.35,2.72,3.55,2.49,4.21,3.11,4.36,,
February,3.54,0.56,5.34,5.76,1.13,6.58,4.75,1.59,5.24,1.29,0.55,5.46,0.15,4.98,0.31,6.11,2.19,5.56,1.58,,
March,4,3.7,2.23,1.66,1.72,1.8,2.22,3.77,2.87,1.33,2.8,0.85,2.7,2.97,2.77,1.12,2.31,2.36,1.43,,
April,4.26,2.21,3.15,3.24,2.06,2.8,1.73,3.19,1.15,1.37,2.69,3.23,3.41,1.65,2.67,3.21,1.17,3.04,0.96,,
May,5.98,2.87,1.57,4.15,4.71,4.63,3.51,1.25,1.15,2.94,1.91,2.21,4.6,1.73,3.51,1.72,1.36,2.72,3.31,,
June,2.7,0.63,3.68,1.21,3.72,0.17,1.96,4.52,6.25,1.89,3.38,6.79,0.8,2.88,2.31,2.88,4.09,2.81,4.58,,
July,6.59,2.15,5.72,4.9,4.59,2.39,3.23,4.63,2.87,3.55,5.9,4.24,5.19,2.81,1.89,2.03,3.99,1.96,4.15,,
August,2.15,5.27,7.11,6.3,6.68,3.23,4.57,5.86,8.71,5.96,7.72,5.6,1.81,3.11,4.74,1.52,2.62,2.99,4.03,,
September,2.39,2.28,3.69,5.78,4.18,4.07,5.38,7.52,1.55,2.03,2.98,3.37,6.42,1.46,3.27,7.23,4.6,2.07,1.67,,
October,1.86,3.4,0.89,6.01,4.21,6.06,4.15,4.09,5.59,6.66,6.5,2.9,7.06,4.62,6.26,9.03,4.44,1.76,8.68,,
November,2.06,2.6,3.06,6.49,2.96,2.54,6.08,4.57,6.42,7.3,5.62,6.66,2.89,2,2.48,4.3,5.03,1.89,5.73,,
December,2.51,6.4,5.09,4.42,4.9,3.31,2.1,1.57,3.11,8.54,3.61,2.37,1.93,0.78,5.52,3.7,5.22,2.06,5.27,,
Total,42.18,39.45,45.03,53.72,44.52,40.84,43.71,47.16,55.19,44.68,49.58,48.76,42.31,31.71,39.28,45.34,41.23,32.33,45.75,,
