SELSEY-OAKASH,,,,,,,,,,
Grid ref,SZ858944,Long,-0.78533961,Lat,50.742879,Elevation,29,ft,,
Station no,417/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.34,3.42,4.65,2.41,4.55,,
February,,,,2.55,2.26,0.06,4.3,2.42,,
March,,,,2.97,1.05,0.17,1.34,1.52,,
April,,,,0.24,0.18,1.56,0.4,0.4,,
May,,,,2.67,3.36,0.64,0.85,3.05,,
June,,,,3.18,2.37,1.8,1.84,3.53,,
July,,,,3.3,0.11,2.69,5.1,1.11,,
August,,,,2.48,2.8,2.81,3.03,3.14,,
September,,,,2.31,2.27,3.6,3.97,3.9,,
October,,,,2.35,2.39,2.19,1.6,,,
November,,,,5.78,1.92,0.77,2.56,,,
December,,,0.75,2.62,4.1,4.42,1.89,,,
Total,,,,31.79,26.23,25.36,29.29,,,
