ROYSTON-UNION-WORKHOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL350407,Long,-0.032777806,Lat,52.048258,Elevation,217,ft,,,,,,,,,,,,
Station no,RR6497,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,0.79,2.12,2.65,0.57,0.52,2.18,1.7,1.07,2.69,0.94,1.04,0.85
February,,,,,,,,,1.01,1.29,3.91,0.97,0.99,0.58,2.55,1.29,1.94,1.47,1.09,0.36
March,,,,,,,,,1.5,0.86,0.65,2.72,1,2.64,1.54,2.39,2.05,1,2.59,3.27
April,,,,,,,,1.6,1.9,2.25,0.82,2.41,0.72,1.28,0.85,2.02,1.13,2.95,2.96,1.47
May,,,,,,,,1.28,3.01,1.98,1.29,0.87,2.43,3.81,1.39,1.11,1.25,3.12,1.29,1.59
June,,,,,,,,2.23,2.29,1.41,2.74,1.54,2.76,5.87,0.98,3.51,3.37,1.49,2.1,3.98
July,,,,,,,,0.6,1.48,1.88,0.95,3.07,1.16,4.84,2.97,0.77,0.76,2.23,3.12,3.62
August,,,,,,,,2.95,1.29,0.92,3.08,1.86,4.89,2.96,2.27,3.42,1.1,2.35,2.02,2.19
September,,,,,,,,2.59,0.24,2.15,0.45,1.24,0.76,1.8,1.08,1.93,1.13,0.69,1.31,2.17
October,,,,,,,,0.74,2.69,1.95,2,1.48,1.25,4.52,1.17,1.43,3.64,2.66,1.06,4.06
November,,,,,,,,0.94,2.16,2.97,1.88,1.39,1.18,2.03,1.25,2.01,4.14,2.27,0.96,0.86
December,,,,,,,,1.92,2.81,1.51,2.3,2.8,1.21,1.51,1.92,0.85,2.22,3.14,1.87,3.01
Total,,,,,,,,,21.17,21.29,22.72,20.92,18.87,34.02,19.67,21.8,25.42,24.31,21.41,27.43
