DALTON ANNANDALE DUMFRIESHIRE,,,,,,,,,,
Grid ref,NY114740,Long,-3.3884103,Lat,55.052561,Elevation,169,ft,,
Station no,RR7324,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,4.9,,,,,
February,,,,,2.25,,,,,
March,,,,,1.6,,,,,
April,,,,,0.25,,,,,
May,,,,,2.6,,,,,
June,,,,,4.35,,,,,
July,,,,,1.8,,,,,
August,,,,,4.25,,,,,
September,,,,,1.65,,,,,
October,,,,,4,,,,,
November,,,,,2.4,2.75,,,,
December,,,,,4.15,,,,,
Total,,,,,34.2,26.13,,,,
,,,,,,,,,,
1855 total seems reasonable comparing with other sites of this date in the area,,,,,,,,,,
