DURSLEY-THE-MANOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST758975,Long,-2.3513756,Lat,51.675742,Elevation,274,ft,,,,,,,,,,,,,
Station no,2146,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.96,1.89,4.13,3.01,4.84,3.41,5.12,0.5,5.12,1.87,4.26,2.58,2.55,0.62,3.79,,,,
February,,,3.65,5.9,0.31,3.59,2.49,3.6,2.95,1.18,0.63,2.53,0.14,4.34,0.43,2.87,2.87,,,,
March,,,3.56,2.09,1.33,0.49,0.49,3.1,3.33,0.28,2.79,0.55,2.03,2.83,2.32,0.71,2.54,,,,
April,,,2.74,3.04,3,2.5,3.41,1.37,1.39,1,2.11,2.6,2.88,1.45,2.51,5.59,2.6,,,,
May,,,0.81,1.92,6.69,4.23,2.55,1.03,1.02,2.45,1.38,3.71,6.29,2.63,1.29,1.27,0.75,,,,
June,,,0.85,0.53,2.45,0,2.17,4.16,3.27,1.38,0.83,3.6,1.51,1.06,1.1,3.72,2.35,,,,
July,,,4.84,1.91,4.74,3.71,3.18,4.52,2.82,1.74,4.14,6.06,2.14,1.94,1.92,0.82,6.01,,,,
August,,,5.3,2.18,4.19,3.15,2.92,4.99,1.86,3.17,2.44,5.92,1.68,0.9,2.6,2,0.38,,,,
September,,,1.71,2.77,4.69,3.65,1.19,5.59,1.48,0.25,3.98,3.04,3.93,3.15,2.44,5.81,2.65,,,,
October,,,1.41,5.77,5.61,3.41,3.4,2.21,5.61,4.98,2.46,0.7,6.09,3.11,2.17,4.87,1.76,,,,
November,,,1.97,2.1,2.87,1.54,6.92,2.68,4.04,8.75,3.84,4.91,2.04,1,1.5,5.52,3.59,,,,
December,,,4.53,3.16,4.26,4.36,0.63,3.71,3.02,7.1,3.35,1.74,1.38,0.65,6.7,3.75,3.6,,,,
Total,,,35.33,33.26,44.27,33.64,34.19,40.37,35.91,32.78,33.07,37.23,34.37,25.64,27.53,37.55,32.89,,,,
