"WARGRAVE (THE THATCHED HOUSE)",,,,,,,,,,,,
Grid ref,SU788792,Long,-0.866015,Lat,51.506248,,,,,,,
Station no,782/2/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,2.19,0.96,1.27,2.84,3.68,1.51,2.68,2.52,2.62,,
February,5.07,0.84,1.74,2.53,1.76,0.33,3.25,3.30,0.14,2.10,,
March,3.97,2.55,0.42,2.33,1.07,0.61,1.47,1.47,2.52,1.52,,
April,2.90,1.58,2.44,0.46,0.51,2.09,0.40,1.13,2.61,0.56,,
May,2.57,2.95,1.79,2.93,4.18,0.19,1.37,1.70,0.42,2.20,,
June,1.49,1.58,1.53,4.03,2.29,2.31,1.81,3.54,0.99,1.72,,
July,1.36,0.50,4.21,2.73,0.17,2.05,3.35,2.85,3.06,3.72,,
August,4.51,2.48,1.95,3.54,0.81,5.80,1.43,4.10,1.13,3.66,,
September,2.98,2.74,2.38,1.90,1.77,3.05,2.73,3.34,0.11,3.24,,
October,0.84,3.61,3.06,2.21,2.84,1.50,2.21,2.69,2.92,6.59,,
November,6.34,2.96,1.08,4.24,1.51,0.74,1.96,2.40,2.34,3.46,,
December,2.01,3.18,0.67,2.45,2.59,3.25,2.35,2.86,3.55,3.23,,
Total,36.55,27.16,22.23,30.62,22.34,25.60,23.84,32.06,22.31,34.62,,
Calc annual,36.55,27.16,22.23,30.62,22.34,25.60,23.84,32.06,22.31,34.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
