WARGRAVE-THE-THATCHED-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU786789,Long,-0.86896332,Lat,51.503579,Elevation,200,ft.,,,,,,,,,,,,
Station no,782/2/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.51,2.19,0.96,1.27,2.84,3.68,1.51,2.68,2.52,2.62
February,,,,,,,,,,,5.07,0.84,1.74,2.53,1.76,0.33,3.25,3.3,0.14,2.1
March,,,,,,,,,,,3.97,2.55,0.42,2.33,1.07,0.61,1.47,1.47,2.52,1.52
April,,,,,,,,,,,2.9,1.58,2.44,0.46,0.51,2.09,0.4,1.13,2.61,0.56
May,,,,,,,,,,,2.57,2.95,1.79,2.93,4.18,0.19,1.37,1.7,0.42,2.2
June,,,,,,,,,,,1.49,1.58,1.53,4.03,2.29,2.31,1.81,3.54,0.99,1.72
July,,,,,,,,,,4.33,1.36,0.5,4.21,2.73,0.17,2.05,3.35,2.85,3.06,3.72
August,,,,,,,,,,3.54,4.51,2.48,1.95,3.54,0.81,5.8,1.43,4.1,1.13,3.66
September,,,,,,,,,,3.3,2.98,,2.38,1.9,1.77,3.05,2.73,3.34,0.11,3.24
October,,,,,,,,,,0.68,0.84,3.61,3.06,2.21,2.84,1.5,2.21,2.69,2.92,6.59
November,,,,,,,,,,5.14,6.34,2.96,1.08,4.24,1.51,0.74,1.96,2.4,2.34,3.46
December,,,,,,,,,,2.01,2.01,3.18,0.67,2.45,2.59,3.25,2.35,2.86,3.55,3.23
Total,,,,,,,,,,,36.55,,22.23,30.62,22.34,25.6,23.84,32.06,22.31,34.62
,,,,,,,,,,,,,,,,,,,,
NGR is The Thatched House High Street Wargrave. Stated altitude appears to be 50 ft. too high.,,,,,,,,,,,,,,,,,,,,
"NGR on 1950s record, SU788792, is in the estate of Wargrave Manor and this does not appear to have Thatched cottages and is 350m NNE of NGR used.",,,,,,,,,,,,,,,,,,,,
