ST-AUSTELL-ST-MEWAN,,,,,,,,,,,,,,,,,,,,
Grid ref,SW998518,Long,-4.81449,Lat,50.33255,Elevation,275,ft,,,,,,,,,,,,
Station no,RR4641,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,9.59,6.12,,9.12,1.44,8.03,3.83,6.16,1.36,3.25,3.28,4.97,4.36,3.78,4.12,3.68,3.46,
February,,,7.82,5.88,,1.9,4.91,3.6,2.58,6.66,3.84,5.84,4.11,7.36,7.29,4.32,2.82,1.33,1.3,
March,,,4.68,5.95,1.85,1.57,5.43,4.2,2.38,1.58,3.45,5.56,2.09,1.94,4.26,2.02,2.65,2.48,5,
April,,,2.46,0.64,2.39,2.59,3.58,5.05,4.33,3.47,3.45,1.73,5.33,2.5,2.65,3.66,3.04,2.07,1.9,
May,,,3.11,2.6,1.21,2.93,0.25,3.02,5.06,2.27,1.25,1.2,2.46,2.62,0.79,2.86,3.08,0.4,2.17,
June,,,3.13,2.39,1.87,3.95,1.6,2.23,4.2,8.72,2.5,4.72,4.33,5.55,1.18,2.86,0.92,0.13,3.81,
July,,,3.13,4,1.95,2.95,1.9,4.6,1.66,5.55,5.06,3.74,5.68,2.5,2.52,0.65,5.3,1.93,10.38,
August,,,1.57,5.63,4.54,2.92,5.24,6.92,6.12,6.59,0.34,5.11,3.64,0.9,2.05,3.97,2.82,1.58,3.96,
September,,,5.44,3.26,,6.76,6.74,3.36,4.2,4.33,4.14,2.53,5.24,6.14,2.15,6.88,4.86,5.03,1.86,
October,,,7.34,3.7,5.19,9.66,4.42,3.05,6.54,2.42,8.13,3.8,7.09,4.11,2.24,9.86,5.19,5.2,2.74,
November,,,8.81,4.35,5.42,7.34,6.35,7.42,6.37,1.4,4.47,5.52,7.43,4.43,2.79,5.92,5.09,5.86,9.11,
December,,,7.83,1.16,9.93,2.48,12.46,4.28,2.3,1.64,6,5.94,6.75,1.75,4.25,2.91,7.13,5.13,5.04,
Total,,,64.91,45.68,,54.17,54.32,55.76,49.57,50.79,43.99,48.94,57.43,44.77,36.53,49.69,47.02,34.82,50.73,
,,,,,,,,,,,,,,,,,,,,
1878 May Observer cannot account for the difference between the amounts here and at Trevana He believes the figures to be correct,,,,,,,,,,,,,,,,,,,,
