BISHOPS-LYDEARD-ASH-PRIORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST153294,Long,-3.209934,Lat,51.05767,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2076/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.86,4,6.23,2.15,,3.14,6.42,2.07,3.02,3.46,3.37,6.39,0.93,0.76,3.75,3.82,0.69,1.72,,,,,,
February,,,,,,,5.12,1.1,1.45,2.49,,0.19,1.26,0.62,2.39,3.61,1.31,1.63,1.45,5.92,4.07,0.95,1.46,3.73,,,,,,
March,,,,,,,4.73,0.08,1.33,2.46,4.06,2.02,1.07,0.17,0.67,0.87,5.62,1.54,1.51,1.37,3.53,2.47,0.89,3.55,,,,,,
April,,,,,,,2.53,0.12,2.16,2.96,1.6,1.25,0.79,1.69,0.66,3.16,2.98,2.3,1.61,2.24,3.21,3.36,2.98,0.2,,,,,,
May,,,,,,,1.88,1.88,1.86,2.35,1.37,4.93,3.03,1.22,3.33,4.95,2.51,3.56,1.82,2.1,3.17,3.5,1.55,2.17,,,,,,
June,,,,,,,0.8,1.41,2.71,,1.62,0.65,1.4,2.05,2.29,2.78,1.81,1.77,0.37,1.13,0.83,1.57,1.64,2.18,,,,,,
July,,,,,,,2.29,2.18,5.08,3.54,1.35,1.5,1.83,1.63,2.05,1.79,1.24,1.4,2.02,4.3,1.37,0.93,2.52,2.78,,,,,,
August,,,,,,,0.97,3.5,1.64,0.07,3.36,2.65,2.96,2.42,1.88,5,1.2,4.24,1.66,5,3.72,4.6,2.6,2.44,,,,,,
September,,,,,,,2.53,1.75,1.16,,1.49,1.93,2.46,2.42,4.12,4.15,1.34,1.62,2.77,4.03,3.01,3.86,3.88,3.3,,,,,,
October,,,,,,,2.78,4.19,3.95,,2.57,1.99,2.9,4.38,3.45,1.04,0.68,3.73,6.79,1.38,1.14,4.8,2.45,2.41,,,,,,
November,,,,,,,1.74,4.53,6.29,,2.35,1.05,2.91,5.66,1.32,6.14,3.14,2.12,4.87,7.1,7.03,5.07,2.83,5.87,,,,,,
December,,,,,,3.29,3.29,4.12,1.97,,2.1,3.29,2.79,3.66,5.61,3.36,2.89,4.63,1.86,3.26,2.61,3,1.05,,,,,,,
Total,,,,,,,34.52,28.86,35.83,,,24.59,29.82,27.99,30.79,40.31,28.09,34.93,27.66,38.59,37.44,37.93,24.54,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old School House Ash Priors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Nov Commenced Assume part month as value in brackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 July Sept-Dec Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan-Feb Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov Observations terminated due to ill health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Dec Estimated to complete record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
