BARHOLM,,,,,,,,,,,,,,,,,
Grid ref,TF088107,Long,-0.392,Lat,52.683,Elevation,45,ft,,,,,,,,,
Station no,2527/5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953
January,,2.49,3.59,1.36,2.49,1.86,3.19,1.78,1.77,1.49,1.47,4.41,1.37,0.88,2.31,1.45,0.74
February,,0.93,0.41,3.12,1.99,0.91,0.38,1.79,1.43,2.35,2.26,1.06,0.65,2.98,3.54,0.30,1.65
March,,0.25,2.09,1.80,3.87,1.53,0.27,0.17,0.55,1.03,4.65,0.60,1.11,0.61,3.24,2.71,0.60
April,,0.00,2.00,1.13,1.04,0.74,0.93,3.19,1.09,1.44,2.33,1.91,2.00,1.98,2.20,1.53,1.60
May,,2.54,1.28,1.18,3.00,2.72,2.11,0.79,1.66,2.22,1.22,2.84,1.97,2.57,3.14,1.42,1.95
June,,1.14,1.51,0.89,0.63,1.31,2.20,3.40,1.67,1.87,3.05,3.32,0.82,1.72,0.86,1.37,2.40
July,,2.46,3.20,3.00,4.48,2.19,1.01,1.87,1.24,2.50,1.58,0.99,1.89,3.70,1.09,0.14,1.36
August,,3.75,3.80,0.36,4.15,1.60,2.52,3.94,2.12,4.26,0.00,2.42,1.37,1.21,4.31,3.30,2.70
September,,1.93,1.33,0.79,0.65,1.20,1.52,3.98,1.37,2.82,1.03,2.22,1.27,2.78,1.30,1.41,0.97
October,2.20,1.64,4.58,2.03,2.45,2.04,1.20,2.32,2.61,2.12,0.19,2.45,3.56,0.78,0.77,1.79,1.95
November,1.50,1.61,3.94,5.61,3.26,2.44,1.46,3.16,0.40,4.90,0.98,1.29,2.27,3.56,4.27,2.11,1.52
December,2.28,3.73,1.72,1.69,0.39,1.04,0.83,1.04,2.11,2.16,1.92,2.10,1.54,1.08,1.42,2.05,0.31
Total,,22.47,29.45,22.96,28.40,19.58,17.62,27.43,18.02,29.16,20.68,25.61,19.82,23.85,28.45,19.58,17.75
,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/077,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/161,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/160,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Notes on the rainfall sheets speculate that readings for January/February and October/November 1940 were apportioned.,,,,,,,,,,,,,,,,,
# These readings have been retained.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
"# The April 1938 reading shown as a dash on the rainfall sheet is assumed to indicate zero, as a total is provided for the year.",,,,,,,,,,,,,,,,,
