BEENHAM HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU602695,Long,-1.135621,Lat,51.421324,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,796/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.47,1.81,0.68,3.1,2.85,1.65,0.83,2.91,3.04,0.46,3.97,0.51,1.33,0.68,2.05,1.14,4.34,3.57,,3.68,1.1,1.5,3.16,3.23,3.31,2.65,2.93,1.72,,2.19,,,,,,1.66,2.61,2.26,2.09,0.63,4.66,5.57,2.53,3.94,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.45,2.79,1.34,2.73,3.83,1.16,1.31,1.02,2.98,0.51,2.03,1.2,1.07,0.36,3.91,1.62,1.97,1.04,,4.71,4.71,1.04,1.1,2.87,0.72,0.24,2.6,3.88,,4.18,,,,,,1.53,0.17,4.2,0.13,2.49,2.14,4.65,0.66,1.4,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.11,4.12,0.74,0.7,1.09,1.39,1.82,3.39,1.18,4.56,1.47,0.98,2.63,3.21,0.93,1.72,3.97,2.48,,1,5.01,2.07,0.99,5.16,1.69,1.19,1.77,2.8,,0.52,,,,,,0.15,1.78,3.25,2.47,0.7,2.62,3.9,0.26,1.47,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.49,1.13,1.56,2.47,0.99,2.35,1.15,2.2,1.19,1.93,0.61,2.99,3.59,1.39,1.81,0.96,0.07,3.32,,1.03,0.92,0.98,3.46,2.51,4.08,1.1,2.23,2.64,,2.12,,,,,,3.26,2.94,1.67,1.5,3.51,1.2,2.26,0.11,2.84,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.27,0.96,2.23,1.21,1.32,0.7,2.26,3.81,3.35,1.08,1.67,2,1.74,1.47,1.79,1.39,1.28,2.14,,5.03,1.82,1.33,1.39,0.27,1.16,1.15,0.93,1.56,,3.34,,,,,,2.92,4.96,1.69,0.7,1.26,0.77,4.38,1.93,1.38,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.68,2.09,1.79,1.35,2.22,1.57,3.01,4.92,0.84,4.6,2.34,2.18,0.76,5.35,4.16,1.7,3.44,0.87,,0.81,2.17,2.8,0.59,0.99,2.74,0.24,1.37,0.46,,0,,,,,,1.36,1.37,2.21,1.32,4.23,2.78,1.49,0.71,1.42,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.74,0.41,0.5,0.26,0.67,2.57,1.04,2.59,1.64,0.81,0.86,2.62,1.72,2.27,2.03,0.09,0.8,1.4,,4.2,0.98,5.33,5.37,1.62,6.58,0.14,4.92,1.22,,2.87,,,,,,4.01,2.57,1.27,1.31,0.49,4.03,1.78,1.75,4.15,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.53,2.87,0.92,0.91,2.35,1.84,2.74,3.02,2.09,3.02,1.19,1.52,3.03,1.89,2.52,2.74,5.66,1.96,,3.03,3.77,5.41,1.09,2.55,1.52,1.75,3.75,2.13,,2.38,,,,,,4.63,2.03,0.36,3.33,2.75,0.88,0.69,2.21,1.86,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.89,2.14,1.64,1.85,0.54,1.22,0.39,2.05,1.6,1.2,0.88,0.9,1.93,3.5,0.29,1.27,2.43,1.16,,3.54,1.45,1.52,5.2,3.5,2.05,2.34,1.61,1.93,,2.46,,,,,,1.75,3.09,3.66,1.71,4.31,3.2,2.68,1.23,0.79,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.36,1.11,4.36,1.98,2.21,1.69,1.76,7.81,1.67,1.56,5.21,5.16,1.11,4.78,3.99,2.16,3.28,4.95,,4.05,4.55,4.43,1.88,1.3,2.86,1.25,1.08,5.24,,3.31,,,,,,0.66,4.16,1.92,1.38,3.63,1.65,3.24,3.38,4.82,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
