SOWERBY - THE OLD HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE432812,Long,-1.339,Lat,54.225,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.57,3.61,1.43,2.99,0.45,3.15,2.44,3.02,2.32,2.32,3.40,1.44,1.76,1.78,2.63,2.24,4.01,2.45,3.73,2.05,1.27,2.13,1.67,2.71,3.50,2.92,2.67,4.38,2.43,2.42,2.51,3.50,1.74,3.93,2.26,2.62,5.01,0.71,1.46,1.26,1.68,0.61,1.96,1.54,3.76,1.48,1.87,2.75,4.28
February,2.34,1.16,1.46,3.02,2.41,0.78,2.08,1.48,0.87,0.10,2.10,4.79,1.07,3.20,1.39,1.31,1.45,0.95,0.93,1.55,0.48,3.24,0.83,2.32,2.80,4.23,1.18,1.50,1.55,3.90,1.89,0.59,1.73,1.93,1.01,2.06,0.98,0.72,3.37,3.04,0.51,1.67,2.15,1.70,1.81,1.96,3.37,0.44,1.95
March,2.95,2.05,1.74,1.20,2.52,2.40,1.05,2.43,1.69,0.81,1.20,1.31,1.18,1.42,0.70,2.11,2.48,0.27,2.21,1.03,1.77,,2.06,0.91,1.80,2.05,0.28,2.24,1.95,2.01,1.39,0.43,0.68,0.41,1.29,3.94,0.78,0.88,0.89,2.55,1.73,0.08,1.58,2.05,0.78,1.46,1.80,1.24,1.07
April,0.04,3.45,0.49,0.85,1.09,2.56,1.47,1.65,3.20,0.60,2.52,1.52,1.90,2.75,0.82,1.34,0.81,1.08,3.11,3.83,1.97,0.81,3.03,2.49,1.20,2.76,0.27,1.13,1.32,1.12,1.08,1.32,2.37,1.09,2.05,2.89,1.67,2.45,1.74,1.01,1.35,2.32,0.26,1.19,1.38,0.28,0.69,2.38,0.75
May,2.88,1.91,1.55,1.20,2.79,0.81,2.83,0.98,2.26,1.62,0.70,1.49,4.50,3.28,1.92,1.51,1.27,1.59,1.15,2.48,4.97,2.89,1.09,0.99,0.80,2.65,2.67,1.48,1.05,1.19,2.65,2.59,1.16,2.56,2.87,2.19,0.97,1.28,1.18,3.69,1.60,1.54,2.74,1.68,0.42,1.21,3.46,0.55,0.75
June,5.93,1.36,1.54,0.30,2.43,1.64,0.78,1.16,1.11,0.52,1.68,0.74,1.83,0.02,4.36,2.46,3.85,1.58,1.86,4.63,0.69,1.39,1.31,3.74,3.60,1.66,1.54,2.21,0.53,0.44,0.70,1.61,3.03,3.11,2.18,2.44,5.50,0.92,1.41,1.17,2.56,2.97,3.15,2.25,3.13,2.05,2.60,1.73,0.47
July,3.67,0.73,3.90,5.39,1.94,1.00,3.99,2.35,4.28,1.18,4.32,3.00,2.84,1.73,1.71,4.76,0.52,1.94,5.61,5.13,3.89,0.94,2.92,0.38,3.90,1.36,2.93,6.44,6.04,1.50,3.18,0.90,2.39,1.95,4.14,1.20,1.18,2.75,2.79,3.79,1.28,2.09,3.17,1.06,4.68,5.32,2.26,1.35,4.88
August,4.63,1.02,1.50,2.61,1.49,6.12,2.40,2.28,1.79,4.05,3.25,3.63,2.67,2.91,2.90,6.13,4.86,2.78,2.60,4.24,1.64,0.44,2.21,3.27,3.40,1.13,2.93,1.82,1.07,2.96,2.98,3.13,3.61,5.03,4.19,0.27,3.85,2.25,3.70,5.90,2.00,3.72,5.27,0.89,8.28,4.52,1.83,0.58,3.03
September,1.96,1.22,1.40,1.08,2.14,0.60,5.58,0.95,1.20,1.39,2.34,2.48,2.31,2.75,1.36,4.88,0.53,0.87,3.72,3.55,1.41,1.65,2.15,4.31,3.00,1.11,2.06,1.97,1.60,0.61,1.81,3.08,5.36,1.36,3.81,1.45,2.15,0.55,2.95,2.65,3.30,1.55,1.85,0.86,2.20,2.79,2.16,0.20,2.32
October,2.02,1.61,1.83,0.82,2.82,2.56,1.92,4.22,2.71,1.17,0.96,2.43,3.87,2.51,2.82,2.36,3.52,2.76,2.38,1.07,3.39,4.10,2.70,5.27,1.20,1.85,3.82,2.59,2.75,3.68,2.20,1.87,2.78,3.95,0.73,0.44,1.05,2.04,1.20,0.96,3.30,2.59,3.95,1.81,1.29,1.96,1.92,1.38,5.21
November,2.92,2.06,2.53,2.46,2.29,1.36,1.24,2.42,1.08,1.94,1.37,2.73,1.65,1.86,4.97,2.11,2.49,3.27,3.21,4.01,1.14,3.14,1.64,3.86,2.60,1.97,3.24,2.71,3.36,2.94,0.83,2.63,4.06,0.42,4.00,1.57,0.80,3.19,3.60,5.87,1.38,2.40,3.67,2.31,1.02,1.04,1.02,3.55,4.21
