DUMFRIES (COPLAND),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX 977 754,Long,-3.602346,Lat,55.062578,Elevation,66,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,7.09,1.8,2.26,2.7,2.57,1.1,1.66,6.29,3.81,,,,,,,,3.5,3.18,2.21,,,,,,
February,,,,,,5.6,3.35,3.08,1.54,2.62,3.47,3.41,3.48,4.46,,,,,,,,3.07,2.82,5.84,,,,,,
March,,,,,,2.81,1.85,2.98,2.63,0.72,4.92,0.29,4.41,0.82,,,,,,,,1.91,4.22,4.21,,,,,,
April,,,,,,1.04,1.1,3.1,1.64,2.66,4.15,1.9,1.39,0.1,,,,,,,,3.06,4.2,0.97,,,,,,
May,,,,,,1.03,1.18,1.5,3.86,3.62,3.95,0.75,3.78,2.21,,,,,,,,1.86,4.49,2.14,,,,,,
June,,,,,,0.41,3.21,3.54,2.28,2.73,2.57,1.46,3.26,2.93,,,,,,,,1.69,2.61,2.8,,,,,,
July,,,,,,4.81,3.97,1.7,3.66,5.22,1.07,2.51,1.8,2.79,,,,,,,,5.24,4.44,1.36,,,,,,
August,,,,,,6.67,4.44,3.41,2.66,1.71,1.17,6.55,4.15,3.12,,,,,,,,3.55,4.13,4.07,,,,,,
September,,,,,,4.25,4.49,2.48,3.47,8.31,6.61,1.43,5.11,4.49,,,,,,,,1.5,5.34,1.46,,,,,,
October,,,,,,6.42,1.89,6.11,6.74,5.62,7.31,0.48,3.9,4.81,,,,,,,,5.63,4.66,2.5,,,,,,
November,,,,,,3.9,2.46,3.65,5.5,1,3.4,5.12,1.31,3.26,,,,,,,,4.82,2.62,2.6,,,,,,
December,,,,,,2.81,1.89,0.94,5.67,4.35,0.31,4.43,2.04,1.19,,,,,,,,3.44,4.8,3.89,,,,,,
Total,,,,,,46.84,31.63,34.75,42.35,41.13,40.03,29.99,40.92,33.99,27.4,30.67,32.01,38.66,26.42,48.09,39.35,39.27,47.51,34.05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location based on Dumfries Infirmary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a possibility that Location is Kings Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NX 786 670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The home of Dr. Copland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discarded partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
