"BLANCHLAND (PENNYPIE)",,,,,,,,,,,,
Grid ref,NY951522,Long,-2.077868,Lat,54.864556,,,,,,,
Station no,RR4089,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,100.00,0.57,2.92,3.36,3.44,2.32,2.82,3.07,5.63,,
February,,100.00,2.01,1.97,2.33,3.92,2.72,4.71,0.30,3.02,,
March,,100.00,0.15,1.21,1.91,1.66,1.63,2.51,1.00,2.57,,
April,,100.00,3.14,0.73,0.47,1.34,0.26,1.74,2.62,1.46,,
May,,100.00,2.29,4.13,2.04,0.78,1.37,3.83,0.73,2.08,,
June,,100.00,3.62,1.81,2.84,3.23,1.06,3.70,1.81,0.40,,
July,,1.98,1.82,1.55,1.12,3.13,4.36,3.80,1.18,5.18,,
August,,2.36,4.19,8.22,1.06,11.44,5.55,3.55,0.57,3.37,,
September,,5.39,3.33,3.66,1.44,3.67,3.63,2.44,1.06,2.60,,
October,,3.85,2.11,6.00,2.55,1.96,2.57,2.37,2.28,9.87,,
November,,3.34,2.15,5.24,1.65,0.76,2.69,0.47,5.36,3.83,,
December,,2.48,1.49,3.24,4.29,3.73,2.48,4.64,5.66,3.12,,
Total,,,26.87,40.68,25.06,39.06,30.64,36.58,25.64,43.13,,
Calc annual,0.00,619.40,26.87,40.68,25.06,39.06,30.64,36.58,25.64,43.13,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
