COVENTRY MIDDLESBORO TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP330795,Long,-1.5162713,Lat,52.412511,Elevation,345,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,2.38,0.54,1.15,2.13,3.32,2.62,1.82,2.52,3.19,0.74,0.88,2.61,2.29,,,,,,,,
February,,,,,,,,,,3.22,3.2,4.13,2.09,3.3,1.54,3.13,0.85,0.56,0.84,1.88,0.7,0.23,,,,,,,,
March,,,,,,,,,,0.92,1.61,2.11,1.6,1.12,2.08,1.09,2.28,1.76,2.28,3.76,1.59,1.19,,,,,,,,
April,,,,,,,,,,2.78,1.7,0.68,3.53,1.33,1.89,2.33,1.72,0.9,1.58,2.97,1.39,2.33,,,,,,,,
May,,,,,,,,,,2.45,1.77,1.02,1.64,1.77,1.06,2.38,4.4,1.42,1.09,3.76,2.43,3.33,,,,,,,,
June,,,,,,,,,,5.39,2.43,2.02,3.9,3.39,1.94,2.36,0.77,1.6,1.59,1.18,1.71,2.23,,,,,,,,
July,,,,,,,,,,3.45,5.45,2.19,3.95,4,3.75,0.03,2.75,0.84,6.01,1.7,2.42,3.52,,,,,,,,
August,,,,,,,,,,5.11,1.31,5.7,2.05,0.93,2.62,3.37,1.4,1.83,2.52,2.57,3.03,4.21,,,,,,,,
September,,,,,,,,,,3.16,5.23,1.85,2.68,4.81,0.93,2.94,1.37,2.39,1.13,2.95,1.36,1.37,,,,,,,,
October,,,,,,,,,,0.95,5.48,3.14,5.46,2.54,1.48,4.21,3.75,1.75,0.4,2.2,1.62,6.21,,,,,,,,
November,,,,,,,,,,1.26,2.1,2.77,4.01,3.85,1.73,3.84,1.93,1.58,3.62,1.15,3.27,2.57,,,,,,,,
December,,,,,,,,,,0.77,3.46,2.74,3.28,0.85,1.84,0.73,3.35,1.77,2.22,1.84,0.91,3.49,,,,,,,,
Total,,,,,,,,,,31.84,34.28,29.5,36.32,31.21,23.48,28.23,27.09,19.59,24.02,26.84,23.04,32.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Can't find the observer, Miss Merry, in any census.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for centre of  Middlesborough Road in coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
