WISHAW (KIRK ROAD),,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 79845 55212,Long,-3.91709,Lat,55.775261,Elevation,480,ft,,,,,,,,,,,,,
Station no,5169,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.55,4.11,7.57,0.68,4.93,2.3,5.74,3.21,4.14,1.6,4.05,2.96,5.43,3.82,
February,,,,,,,3.31,1.51,3.12,1.54,0.18,2.34,0.06,2.71,0.28,3.24,2.01,3.61,1,3.55,
March,,,,,,,2.22,2.48,2.35,0.46,1.57,0.85,2.12,1.33,2.32,1.82,1.77,1.02,2.27,3.11,
April,,,,,,,1.7,1.99,0.97,1.5,0.9,1.98,2.13,1.52,3.34,2.77,1.1,1.2,0.28,1.21,
May,,,,,,,2.66,1.79,1.9,2.35,1.81,2.31,2.64,2.1,2.29,0.62,1.01,1.16,3.92,0.51,
June,,,,,,,2.5,3.7,3.65,2.15,2.35,4.79,1.31,2.17,2.25,3.9,1.14,1.96,3.71,1.95,
July,,,,,,1.69,2.72,2.91,1.84,3.26,2.71,4.47,2.42,4.79,3.01,1.72,4.21,3.69,3.19,3.47,
August,,,,,,3.03,2.69,7.03,3.8,5.14,5.19,2.22,0.91,1.7,2.9,2.08,2.33,4.03,2.2,1.43,
September,,,,,,3.34,2.95,5.31,2.97,0.81,3.59,0.87,3.53,1.17,2.69,4.77,3.81,1.83,3.05,2.01,
October,,,,,,2.47,4.47,3.63,4.9,3.81,4.08,3.01,4.89,2.41,4.94,7.48,2.92,3.75,7.7,1.63,
November,,,,,,0.47,5.03,2.97,2.97,5.57,4.52,5.56,2.54,1.24,0.91,3.98,3.21,0.66,5.74,,
December,,,,,,2.94,1.06,0.81,3.04,6.75,2.15,2.75,7.27,0.43,3.21,1.67,4.49,1.68,2.24,,
Total,,,,,,,34.86,38.24,39.08,34.02,33.98,33.45,35.56,24.78,32.28,35.65,32.05,27.55,40.73,,
,,,,,,,,,,,,,,,,,,,,,
Location 97 Kirk Rd,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1939 No Dec  +T deleted Estd,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5169,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,654780,,,,,,,,,,,,,,,,,,,,
