Rainfall at,DUBLIN PHOENIX PARK
,
Station no,6118,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.00,3.12,2.43,1.88,3.49,2.47,3.48,3.07,2.85,0.89,4.04,
February,1.92,0.88,1.85,4.72,0.48,4.24,1.60,2.35,2.43,2.04,1.20,
March,2.51,2.54,1.40,0.89,0.76,0.78,0.93,2.94,4.05,0.27,3.85,
April,2.69,0.87,2.41,3.25,1.99,2.48,1.98,1.31,0.48,1.28,1.36,
May,2.36,3.24,0.69,1.80,3.28,5.55,2.89,0.76,1.41,1.52,2.19,
June,1.87,0.26,0.85,1.15,3.00,0.26,2.60,2.97,4.67,1.38,1.72,
July,5.10,3.54,2.15,3.51,3.93,2.75,2.49,3.02,1.46,2.65,3.50,
August,1.88,2.65,3.75,4.36,3.15,1.39,2.11,5.54,3.97,4.67,5.02,
September,1.30,1.46,2.55,2.31,5.29,2.31,1.68,3.98,0.83,0.60,6.73,
October,5.03,2.46,0.73,2.19,2.04,2.51,3.12,2.76,2.85,2.80,3.21,
November,2.59,2.27,0.39,2.02,2.26,2.63,3.50,3.01,3.61,4.77,2.72,
December,2.18,2.70,2.21,2.08,3.84,1.77,0.92,2.11,2.50,5.49,3.12,
Total,33.43,25.99,21.41,30.16,33.51,29.14,27.30,33.82,31.11,28.36,38.66,
Calc annual,33.43,25.99,21.41,30.16,33.51,29.14,27.30,33.82,31.11,28.36,38.66,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
