ARKENGARTHDALE SCHOOL HOUSE - Original Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ000029,Long,-2.002,Lat,54.422,Elevation,940,ft,,,,,,,,,,,,,,,,,,,,,
Station no,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945
January,,4.54,6.75,6.50,8.07,4.70,3.27,3.65,5.68,4.76,4.12,9.31,1.66,7.13,3.15,4.67,2.40,5.01,2.16,5.37,5.55,6.25,11.27,,,4.07,5.20,4.72,3.82
February,,5.64,3.22,2.96,0.29,4.49,5.46,1.02,8.49,4.01,1.60,5.03,0.83,1.47,3.29,2.22,5.87,0.87,8.03,3.78,5.80,2.51,4.16,3.25,,2.05,2.57,2.19,4.66
March,,1.66,5.23,4.01,4.01,3.65,1.51,1.52,1.88,2.56,3.69,4.20,0.21,3.92,1.53,3.57,,5.28,1.33,2.46,3.93,1.95,4.59,3.32,,2.15,2.21,0.58,0.90
April,,1.39,2.17,6.49,1.44,3.08,2.70,2.14,3.99,1.90,3.25,0.60,1.09,3.72,2.95,3.32,1.29,6.10,3.77,1.66,2.79,0.46,1.78,3.02,,2.53,3.02,2.20,3.29
May,,1.31,1.53,4.91,1.62,0.88,3.78,6.44,4.06,2.47,2.43,1.81,1.57,1.47,2.57,4.34,2.87,2.88,0.34,1.91,4.31,2.91,0.95,1.47,,3.81,4.71,2.01,2.98
June,,0.67,1.62,1.51,0.10,1.74,1.06,2.65,0.44,2.86,3.11,7.05,0.93,2.07,4.74,1.62,,1.49,3.32,5.14,2.05,3.89,2.83,0.19,,0.80,2.79,2.29,3.55
July,,4.79,2.69,8.27,2.39,5.46,2.98,5.53,1.62,4.33,5.09,0.51,3.28,6.64,4.91,3.03,2.76,1.29,1.11,3.21,2.07,2.23,4.65,5.13,,2.49,2.15,4.12,1.59
August,,4.09,3.46,2.17,4.38,3.89,6.46,2.82,3.90,3.57,7.32,7.70,4.10,8.05,5.31,2.25,0.83,2.72,2.00,3.80,1.73,3.61,2.50,0.70,,4.85,6.01,1.96,2.78
September,,9.09,2.14,1.52,1.65,5.07,3.76,4.82,2.93,2.25,5.48,1.43,1.06,4.56,2.22,4.02,2.60,2.55,8.13,4.84,2.85,1.84,1.43,2.92,,3.58,4.14,6.60,2.45
October,,5.69,6.16,2.47,2.53,2.74,7.41,5.45,4.50,3.99,5.11,6.64,4.50,5.87,1.55,6.65,4.39,6.85,8.58,3.52,2.52,10.34,5.10,5.15,,2.69,3.47,4.89,
November,3.45,2.02,5.61,3.55,2.21,1.28,8.47,2.16,2.45,7.77,5.24,7.39,5.49,4.47,6.30,3.26,4.17,3.04,8.34,4.28,1.47,5.68,7.11,8.23,4.25,1.26,2.51,8.94,
December,5.00,4.46,6.28,5.91,6.28,5.67,2.99,7.05,,1.62,3.19,2.85,10.70,3.36,2.72,4.58,1.19,5.82,2.28,6.28,3.72,6.19,2.60,3.20,2.75,4.02,3.22,5.12,
Total,,45.35,46.86,50.27,34.97,42.65,49.85,45.25,,42.09,49.63,54.52,35.42,52.73,41.24,43.53,,43.90,49.39,46.25,38.79,47.86,48.97,,,34.30,42.00,45.62,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1925 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for March and June 1933 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for January 1940 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
