BROUGHTON (DUN LAW),,,,,,,,,,
Grid ref,NT176264,Long,-3.306769,Lat,55.52436,Elevation,2500,ft,,
Station no,RR4074,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,10,4,8
February,,,,,,,,9.5,2.7,12.9
March,,,,,,,,4.05,4.45,4.2
April,,,,,,,,5.25,5.7,6.6
May,,,,,,,,6.95,3.05,3.85
June,,,,,,,,6,4,3.3
July,,,,,,,6,6.9,4.05,5
August,,,,,,,7.75,6.85,2.5,6.9
September,,,,,,,4.6,6.35,1.52,5
October,,,,,,,6.05,4.8,7.6,7.3
November,,,,,,,6.1,2,14.5,10.2
December,,,,,,,11,6.8,15,8.55
Total,,,,,,,,75.45,69.07,81.8
,,,,,,,,,,
station number 5073/3/2 on 1950s TYR,,,,,,,,,,
,,,,,,,,,,
15908,DUN LAW ,NT1768826403,01/01/1957,31/12/1970,,,,,,
