"DARTREY CASTLE (COOTEHILL)",,,,,,,,,,,,
Grid ref,IH6070017100,Long,-7.072784,Lat,54.099560,,,,,,,
Station no,RR1711,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.46,4.52,2.03,5.34,2.93,2.04,4.43,1.96,2.76,2.85,,
February,2.83,1.33,2.52,4.01,3.60,1.98,2.51,2.36,2.93,1.41,,
March,0.96,3.42,3.02,7.15,2.47,3.73,2.31,3.64,4.18,3.12,,
April,2.79,2.83,2.44,2.34,2.19,2.18,2.45,2.93,2.46,4.85,,
May,2.02,1.98,3.03,3.04,2.41,1.47,4.73,3.30,2.36,1.93,,
June,3.14,2.33,2.31,1.18,1.36,1.79,1.23,5.09,2.39,1.75,,
July,2.67,0.86,3.07,4.82,4.18,1.80,2.73,1.73,2.36,3.99,,
August,4.22,4.41,1.83,5.43,5.76,6.42,4.05,3.06,3.13,1.99,,
September,2.04,3.26,2.12,4.23,3.31,2.02,1.15,1.24,5.12,2.39,,
October,4.76,3.26,1.81,4.73,1.87,1.99,5.69,4.15,1.46,5.71,,
November,6.05,3.84,3.08,2.34,2.35,2.92,1.82,2.70,2.78,1.58,,
December,4.79,4.23,2.59,2.43,2.42,2.52,3.13,3.31,2.94,4.30,,
Total,39.73,36.27,29.85,47.04,34.85,30.86,36.23,35.47,34.87,35.87,,
Calc annual,39.73,36.27,29.85,47.04,34.85,30.86,36.23,35.47,34.87,35.87,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
