MANLEY-RAVELSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ515722,Long,-2.7282468,Lat,53.244593,Elevation,360,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2781/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.73,4.57,2.16,2.8,2.73,4.21,3.7,2.87,3.13,2.06,6.68,2.46,0.67,1.91,3.22,1.03,1.21,,3.98,1.25,2.13,,4.97
February,,,,,,,,0.66,2.64,2.22,3.34,1.55,1.67,1.58,2.35,3.98,1.15,1.36,1.45,4.78,2.34,1.25,1.19,1.23,1.12,0.61,2.61,4.02,0.27,1.55
March,,,,,,,,0.92,1.94,2.55,3.18,2.29,0.75,0.85,0.98,0.93,4.67,0.87,2.63,1.27,4.46,1.47,0.69,1.9,2.37,0.77,2.57,1.67,,1.37
April,,,,,,,,0.17,1.92,2.36,1.74,1.5,1.74,1.49,1.48,1.14,2.62,1.61,2.73,2.99,1.65,2.14,2.14,0.98,1.61,1.82,0.62,0.65,,1.58
May,,,,,,,,2.92,1.76,1.65,2.13,3.48,2.21,1.95,3.85,2.04,3.46,1.08,3.52,1.1,3.02,1.79,2.02,2.27,2.51,0.94,0.97,2.66,,2.11
June,,,,,,,,2.53,2.97,1.34,1.17,0.24,2.98,2.19,2.78,3.4,2.17,3.5,1.37,2.31,1.42,2.57,1.64,2.34,2.01,2.75,0.56,4.29,,1.58
July,,,,,,,,3.39,6.13,4.21,1.93,4.02,4.35,3.21,2.08,3.2,3.44,2.38,3.38,2.52,4.23,2.48,2.58,3.88,0.76,3.57,4.49,3.47,,2.4
August,,,,,,,,4.28,1.64,0.79,3.92,1.87,2.78,3.42,3.06,5.25,0.37,3.73,1.4,4.06,4.02,1.26,3.31,2.67,1.22,7.01,3.56,3.29,0.38,4.89
September,,,,,,,,1.26,1.13,3.91,1.1,2.35,3.78,4.25,1.24,3.32,2.48,1.39,0.8,4.23,2.26,1.36,2.78,2.43,3.4,1.71,6.58,3.72,0.18,3.08
October,,,,,,,,3.93,2.65,3.79,3.66,3.14,3.97,4.22,4.35,1.1,0.69,2.13,3.01,2.61,0.93,3.87,1.21,4.77,0.63,1.96,2.55,2.15,,4.24
November,,,,,,,,3.7,4.23,6.51,2.72,0.65,2.33,5.45,0.3,4.48,3.54,1.91,4.32,4.08,6.81,1.68,2.15,4.42,1.14,1.34,1.8,1.83,,4.66
December,,,,,,,,3.66,1.86,2.79,1.04,3.9,1.26,2.28,2.81,3.85,2.79,3.22,3.86,3.58,4.25,1.2,1.03,2.11,,2.59,2.59,3.1,,2.88
Total,,,,,,,,31.15,33.44,34.28,28.73,27.72,32.03,34.59,28.15,35.82,29.44,29.86,30.93,34.2,37.3,24.29,21.77,30.21,,29.05,30.15,32.98,,35.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Ravelstone. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
