CARLISLE O.S.O.,,,,,,,,,,,,,,,,,,,,
Grid ref,NY405557,Long,-2.9285,Lat,54.8926,Elevation,123,ft,,,,,,,,,,,,
Station no,RR1462,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,2.82,5.55,1.37,,,,,,,,
February,,,,,,,,,,1.6,1.46,1.68,,,,,,,,
March,,,,,,,,,,2.99,2.93,3.48,,,,,,,,
April,,,,,,,,,,2.11,1.54,0.6,,,,,,,,
May,,,,,,,,,,0.07,1.82,0.89,,,,,,,,
June,,,,,,,,,,1.36,3.09,2.06,,,,,,,,
July,,,,,,,,,,2.38,2.49,4.8,,,,,,,,
August,,,,,,,,,,2.53,3.29,4.14,,,,,,,,
September,,,,,,,,,,4.98,1.44,5.15,,,,,,,,
October,,,,,,,,,,1.32,4.89,1.62,,,,,,,,
November,,,,,,,,,,3.68,1.12,6.56,,,,,,,,
December,,,,,,,,,,2.33,2,2.11,,,,,,,,
Total,,,,,,,,,,28.17,31.62,34.46,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR complete estimate no evidence on record or google!,,,,,,,,,,,,,,,,,,,,
Taken to be Portland Square - location of Council Offices in 19th century although elevation at 68 ft too low.,,,,,,,,,,,,,,,,,,,,
Very few places in Carisle reach 123ft,,,,,,,,,,,,,,,,,,,,
