MONMOUTH-THE-HENDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO457142,Long,-2.7892589,Lat,51.823769,Elevation,176,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.86,1.02,4.52,2.38,1.74,2.65,3.5,4.9,0.48,2.25,0.35,4.99,3.97,1.8,1.03,3.9,3.87,1.08,4.45,1.97,0.82,0.87,2.39,0.4,4.14,4.73,0.77,2.33,1.07,1.09,,
February,,,,,,,,,0.95,1.65,0.72,0.02,2.33,3.41,2.32,0.08,0.33,2.24,1.22,3.2,6.75,1.06,1.33,2.26,4.24,0.73,1.62,1.01,0.76,0.39,3.59,1.36,2.72,1.47,2.88,4.53,4.02,1.34,,
March,,,,,,,,,3.22,3.53,0.88,2.26,1.02,0.37,2.11,2.25,2.6,4,0.72,0.8,1.43,2.64,1.56,3.5,1.62,3.39,1.35,0.7,3.38,3.29,1.05,1.9,4.53,4.12,3.41,0.77,4.41,2.78,,
April,,,,,,,,,1.55,5.96,0.93,1.47,0.89,0.25,2.33,2.2,0.54,2.27,1.99,2.4,0.87,3.01,1.77,1.86,1.25,2.8,0.91,3.47,2.8,2.4,2.11,1.01,0.22,3.74,1.51,1.04,0.62,1.12,,
May,,,,,,,,,2.01,3.75,2.29,3.43,1.79,2.17,2.99,0.43,0.46,1.25,4.08,2.53,2.46,1.39,1.82,3.3,1.89,0.23,2.37,2.54,1.77,1.05,1.55,2.24,2.58,2.24,1.87,4.03,3.46,3.12,,
June,,,,,,,,,3.32,0.6,2.34,2.89,1.99,0.93,2.08,1.19,2.9,3.22,1.32,1.35,1.12,1.95,2.2,2.82,0.93,3.35,2.42,2.86,0.65,1.74,4.57,1.49,4.92,0.66,2.35,0.63,1.52,3.58,,
July,,,,,,,,,6.94,3.35,2.3,1.68,2.85,3.21,3.26,2.31,1.9,0.98,0.8,0.44,1.67,2.31,0.64,2.63,1.87,0.74,0.54,3.41,1.6,1.39,2.05,0.31,3.64,0.31,3.62,3.9,1.98,2,,
August,,,,,,,,,1.81,2.49,3.21,6.2,4.17,2.13,3.88,2.47,1.12,5.07,2.26,1.85,2.91,1.69,3.35,3.88,1.69,2.92,1.73,2.62,3.12,1.74,5.69,3.01,6.97,0.92,1.34,1.46,3.26,5.03,,
September,,,,,,,,,0.73,2.04,1.05,1.25,2.34,1.33,3.08,1.23,5.99,3.49,0.9,1.88,0.65,1.85,2,2.77,1.73,1.52,0.6,0.58,2.19,3.28,0.34,1.38,0.52,2.66,1.51,0.93,0.95,2.97,,
October,,,,,,,,,1.07,3.27,1.15,7.39,2.99,2.99,5.14,3.2,3.37,2.27,5.68,2.62,4.04,2.09,3.52,7.24,0.46,1.63,5.39,6.78,2.49,4.33,4.23,2.2,3.81,4.53,2.54,4.43,5.68,3.58,,
November,,,,,,,,3.48,7.88,1.21,2.27,3.01,3.11,1.58,4.61,6.15,0.72,2.42,2.56,3.02,2.96,0.95,2.61,1.13,1.41,3.71,3.51,2.7,1.51,1.31,3.57,3.54,1.23,3.3,3.07,2.03,2.72,1.2,,
December,,,,,,,,2.28,3.85,1.47,1.23,4.17,1.27,4.43,2.72,2.78,4.22,5.38,3.15,2.57,6.33,4.12,1.8,2.68,2.6,0.72,1.62,4.78,2.6,5.04,4.88,8.25,3.53,1.1,5.81,6.18,1.93,0.71,,
Total,,,,,,,,,34.19,30.34,22.89,36.15,26.49,25.45,38.02,29.19,24.63,34.84,25.03,27.65,35.16,24.86,23.63,37.97,23.56,22.82,26.51,33.42,23.69,26.83,36.02,27.09,38.81,29.78,30.68,32.26,31.62,28.52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is The Hendre, now Rolls of Monmouth golf course. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
