FARNBOROUGH-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU873551,Long,-0.7482,Lat,51.289,Elevation,257,ft,,,,,,,,,,,,
Station no,RR1548,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.04,2.29,1.64,,1.24,2.88,2.42,0.46,2.3,0.88,2.98
February,,,,,,,,,,1.24,-999,0,1.36,3.06,1.67,0.22,0.38,3.2,1.23,2.95
March,,,,,,,,,,1.95,-999,0.66,0.96,0.65,1.45,1.48,3.4,3.89,1.09,0.85
April,,,,,,,,,,2.17,2.4,0.71,0.72,0.03,1.82,1.68,0.39,1.23,1.36,2.58
May,,,,,,,,,,2.27,2.11,2.74,0.72,0.59,1.81,0.38,0.46,1.24,2.77,1.71
June,,,,,,,,,,0.67,2.63,0.76,1.69,0.62,2.08,0.43,2.34,3.15,2.2,1.8
July,,,,,,,,,,2.2,3.36,3.29,1.78,1.74,4.46,3.87,1.02,0.91,0.49,0.45
August,,,,,,,,,,1.29,2.48,3.34,3.69,1.28,3.17,1.48,1.67,2.78,1.65,1.01
September,,,,,,,,,,0.93,0.99,1.19,2.3,1.03,1.29,0.99,6.8,1.72,0.68,2.56
October,,,,,,,,,,3.39,1.14,6.49,3.88,4.12,4.1,2.82,2.84,0.84,3.46,3.41
November,,,,,,,,,,0.89,1.56,1.01,1.84,1.66,5.04,4.18,1.56,1.34,3.47,5.17
December,,,,,,,,,,1.02,0.69,3.32,0.77,2.41,2.04,2.52,3.79,3.78,2.85,1.53
Total,,,,,,,,,,19.06,22.04,25.15,,18.43,31.81,22.47,25.11,26.38,22.13,27
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1890 Feb Mar -999,,,,,,,,,,,,,,,,,,,,
