CANONBIE BYREBURNFOOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY390778,Long,-2.9562,Lat,55.0913,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,6.9,4.7,9.1,9.5,4.25,9,2.88,9.13,4.5,1.5,2,0.5,3.25,5.25,8.63,4,4.13,1.88,2.63,2.38,6,2.75,4.25,1.75,6.13,,2.5,1.25,3,6.75,5.38,2.5,2.88,6.88,3.88,-999,5.25,1.88,5.63,4.5,4.25,2.5,3.13,4,4.13,3.13,6.13,3.25,5.38,5.12,6.5,8.75,4.13,-999,5.13,5,6,4.87,11.38,2.25
February,3.75,4.8,5.5,1.4,4.3,1.75,7,3.12,4,3.75,2.5,4.63,4,3,4.5,6.13,2.25,1.62,0.87,2.62,1.13,0.4,2.25,6.62,8.87,,3.13,3.87,3.5,3,4.37,1.5,1.62,5.12,3.12,-999,2.63,1.12,3,2.25,5.38,6.25,3,2.75,5.12,6.37,3.5,0.88,5.25,0.75,10.38,0.25,4.63,-999,,6.25,5.87,3,4.87,1.5
March,2.4,3,4.6,2.75,4,,5.5,3.25,2.13,3.25,1.5,5.62,4,1.75,4.25,3.37,4.75,1.75,2.63,3.25,3.25,2.75,1.37,2.37,2.38,,5.62,6,1.5,4,0.25,2.88,2.37,5.63,5,4.88,3.25,4.25,4.37,4.25,2.25,1.75,5.37,4.63,4.63,2.63,2.87,1.5,1.25,3.37,4.25,5.25,2.5,1.5,1.5,1.75,2.25,3.5,4.75,1.25
April,1.7,6.5,1.6,0,2.75,0.5,2.5,3,4.25,0.5,2,1.13,0.88,4,1.75,1.5,1.63,2.75,1.87,2.5,1,1.35,1.12,0.87,1.12,,-999,-999,4.88,3.25,3.25,3,1.62,2.25,3.75,3.25,1.75,2.5,1.88,3.75,2.62,4.38,0.38,5,1.25,2.5,3.13,2.5,0.62,1.63,3.5,1.13,2.62,3.75,2.5,4.75,3.25,2.38,1.13,1
May,4.5,0.5,3.25,2,,2.5,0.37,2.75,3.87,2.13,1.38,3.25,1.75,2,4.37,2.13,2.87,0.75,2.13,3.25,2.75,1.75,4.5,2.62,3.62,,-999,-999,2.5,4.13,2.88,1.37,1.75,2.5,2.88,3.25,6.87,4.75,3,2,2,2.75,2,2.62,2,0.75,3.62,3.12,1.5,0.88,5.5,2.25,2.75,2.63,2.5,6.75,2.5,2,1.62,1.25
June,2,3.75,5,2.5,2.75,4.5,3,3.13,3,4,1.25,5.62,0.5,2.5,0.25,,1.5,0.38,1.5,0.38,5.25,1.8,3.37,2.75,3.5,,-999,2.88,3.12,1.5,5.75,2.37,1.13,1.62,1.75,1.25,-999,7.88,2.25,2.37,1.5,3,5,2.5,0.25,1.5,2.5,2,0.38,1.75,2,0.25,2.25,0.75,3,0.25,2.75,4.87,7.5,2.25
July,1.7,5.1,4,5.75,3.5,1.25,1.5,5.62,1.25,4.5,6.5,3.25,8,1.75,7,,5.62,4.75,4.62,5,3.12,1.5,3.75,2.5,1.88,,-999,2.87,0.88,2.25,1.5,1.25,3.37,4.88,3,2.75,-999,,3.87,4,5.5,1.25,2.87,0.63,2.25,4.25,4.75,1.88,3.62,0.88,4.37,4,5.87,3.75,4.25,1.5,3.25,3.38,4.63,6.25
August,1.2,2.5,3.75,5.75,8.5,3.5,3.5,9.25,4.75,4.62,0.37,5.25,3,3.25,0,,3,2.37,3,4.5,4,11.15,7.25,5.62,5.5,,2,5.75,5.75,1.12,6,4.88,3.5,7.12,3.5,4,8.25,5.25,6.38,3.25,7.5,4.5,5.63,2.62,0.87,1.5,3.75,7.25,3.63,3.13,3.75,5.87,4.25,11.75,3.63,5.5,,,8.62,8
September,2,2.25,9,6,6.25,,3.13,2.63,5,6.13,4.25,1.75,2,5.25,3,6.75,6,6.25,1.13,2.12,4.13,7.25,7.87,3.25,0.5,,6,3.5,2.12,4.63,2.25,1.88,1.63,4.38,2.5,3.38,0.88,0.5,5.37,2.63,0.63,3.87,2.37,1.88,1.75,0.87,1.88,5.75,7.12,5.25,2.5,-999,2.75,5.75,4.37,3.25,6.25,,2.75,1
October,7,4.5,5.5,5.75,9.5,,4,8.75,3.13,1.5,1.5,2.25,4.5,4,1.5,3.5,4,1,4.12,6.25,2.75,,4.75,4.75,4.37,,4.88,2.5,4.13,3,6,4.62,3.5,10.62,2,-999,5.5,7,3.38,8.25,2,4.63,5.13,4.37,1,1.63,9.12,6.5,6.88,2.12,1,-999,2.12,7.5,4.75,5,4.25,4.5,7.75,5
