BURNLEY SHEDDIN WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD893301,Long,-2.163806,Lat,53.767134,Elevation,960,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,6.03,5.66,2.7,6.55,2.67,2.02,2,5.56,2.85,3.94,1.43,5.14,3.62,1.9,1.74,3.39,6.72,5.32,2.7,3.91,4.81,4.96,1.81,6.81,1.74,2.95,2.47,5.64,2.13,5.53,4.73,3.7,6.28,3.62,2.77,2.97,5.08,4.88,7.71,4.48,4.47,3.57,3.99,5.29,5.12,11.16,2.06,7.24,4.97,5.16,3.48,4.29,2.16,5.28,4.65,5.83,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.69,4.19,4.44,0.84,1,1.05,1.93,0.84,0.42,2.78,5.56,6.05,0.65,2.22,2.89,2.91,2.24,4.74,2.05,1.52,5.17,4.82,2.69,3.69,2.07,2.7,2.45,5.29,4.82,2.29,1.93,3.52,6.09,5.53,0.92,5.31,1.78,3.85,0.59,4.77,6.77,1.17,6.91,4.12,2.49,5.73,0.92,0.83,4.57,0.33,3.27,0.51,5.99,3.14,5.51,1.88,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.99,3.53,2.92,3.36,2.04,2.95,2.97,3.53,2.26,1.16,1.32,3.57,3.79,5.27,4.9,2.11,2.55,0.84,3.3,2.69,6.55,2.58,3.74,3.38,3.27,3.35,3.58,1.29,2.25,6.24,5.22,4.68,1.59,3.88,3.05,1.9,6.08,4.45,3.61,3.39,2.38,1.56,1.76,1.91,4.31,3.98,1.05,2.67,0.52,2.99,2.75,3.13,1.59,2.61,2.36,1.67,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,2.32,2.12,2.64,3.12,1.66,2.26,2.95,1.3,2.76,1.08,0.79,2.37,2.8,2.32,3.23,2.5,3.67,2.25,2.8,2.42,2.51,3.02,3.66,1.42,2.36,2.94,3.91,4.31,2.33,0.95,5.58,1.5,2.07,3.11,1.94,1.21,1.85,6.12,1.73,4.27,3.93,2.29,3.04,2.05,3.2,1.28,1.44,3.64,3.86,3.66,1.87,3.53,3.34,1.14,3.46,0.64,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.26,1.87,3.02,4.59,2.07,1.24,2.63,3.02,3.96,4.97,2.3,2.78,1.06,0.66,1.9,2.86,2.94,2.49,1.32,3.56,3.28,3.09,0.89,3.47,3.76,2.51,2.38,2.77,2.74,2.66,3.97,2.23,1.53,2.95,1.51,1.88,1.78,5.56,2.52,1.86,4.66,5.2,4.46,4.09,1.32,1.89,3.21,2.18,2.48,4.65,2.36,2.45,1.06,1.41,2.32,4.15,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,5.77,1.17,3.64,2.15,0.44,2.69,0.72,3.98,1.45,3.78,3.75,2.93,2.87,2.76,3.54,2.77,1.45,4.16,1.75,1.51,1.89,1.06,2.84,2.13,6.46,1.89,3.17,3.46,5.18,6.43,2.44,2.17,0.87,2.33,2.41,1.49,1.71,2,0.2,2.69,1.46,2.34,0.05,4.01,3.98,6.79,1.62,2.09,6.41,1.26,2.4,2.58,4.07,4.12,2.09,4.19,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,5.97,4.09,5.07,1.61,4.41,2.92,5.59,3.34,3.07,3.88,2.22,4.73,4.83,6.34,2.05,2.11,1.22,2.58,3.49,1.8,3.32,4.42,2.49,2.53,2.02,2.77,5.4,6.3,4.14,0.61,5.11,1.23,4.17,4.34,2.65,1.8,4.02,2.53,7.12,2.3,5.61,5.47,4.06,1.6,2.4,3.69,1.75,2.93,5.87,4.46,4.23,3.23,2.38,1.59,4.28,2,4.42,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.3,2.49,2.34,1.86,1.82,1.45,5.06,5.86,6.42,9.26,5.03,4.01,4.56,4.67,2.59,6.34,4.73,1.76,5.16,2.39,3.23,5.62,5.62,4.66,4.1,3.54,4.39,3.38,6.34,2.76,7.23,3.13,2.59,4.74,3.68,6.11,3.15,3.59,2.06,4.78,5.92,6.22,6.9,4.46,4.45,7.74,6.75,4.52,8.18,5.06,1.33,1.57,5.04,1.59,3.45,1.89,5.12,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.59,7.21,2.77,5.72,3.74,5.39,1.1,2.6,3.06,3.83,3.98,4.93,0.23,1.94,7.92,4.7,1.24,7.26,1.51,1.53,1.69,5.84,1.43,2.72,1.3,0.58,4.57,2.67,0.47,3.78,2.35,1.68,3.07,0.85,2.12,2.5,11.17,1.93,2.66,1.99,4.48,5.62,5.9,4.03,3.25,6.18,0.75,1.53,4.51,4.78,5.73,2.25,3.82,6.61,5.13,2.09,2.06,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.98,5.46,3.07,7.46,6.13,2.36,1.82,5.32,3.44,5.56,6.6,4.6,4.9,4.52,5.7,2.07,4.38,2.99,5.56,3.91,4.3,11.31,1.89,3.97,6.61,5.35,2.25,5.43,4.11,3.78,4.89,1.91,2.5,1.38,9.04,8.53,4.29,2.34,1.92,2.73,1.17,6.69,5.21,5.8,3.98,4.93,6.35,6.3,6.38,2.69,6.86,4.93,5.89,8.84,4.5,2.38,8.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
