YETTS OF MUCKHART,,,,,,,,,,,,
Grid ref,NO005012,Long,-3.604993,Lat,56.192982,,,,,,,
Station no,5527/18,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.27,2.12,4.75,2.16,4.10,7.06,3.70,1.76,3.67,,
February,,0.93,2.40,4.33,1.89,2.35,3.63,2.64,2.53,4.89,,
March,,5.00,1.25,3.29,2.89,3.04,5.61,3.16,3.49,2.42,,
April,,2.06,3.18,2.10,2.80,1.07,2.47,1.85,3.65,3.39,,
May,,1.25,2.49,5.98,3.55,2.56,2.72,4.16,1.24,3.79,,
June,,4.16,1.88,6.06,0.09,3.86,1.66,3.89,4.03,3.00,,
July,,2.36,6.68,3.78,3.80,4.52,6.94,4.94,4.77,4.70,,
August,,6.63,3.00,5.11,1.43,6.47,5.72,6.19,2.57,6.10,,
September,,3.23,5.72,6.98,4.39,5.24,2.24,6.57,1.55,2.37,,
October,,3.66,5.58,10.33,5.00,4.24,4.02,3.24,4.11,7.07,,
November,,2.91,9.86,7.30,2.16,1.09,3.22,2.23,8.47,4.50,,
December,,4.16,5.55,8.04,9.30,6.74,6.74,8.31,7.50,5.74,,
Total,,39.62,49.71,68.05,39.46,45.28,52.03,50.88,45.67,51.64,,
Calc annual,0.00,39.62,49.71,68.05,39.46,45.28,52.03,50.88,45.67,51.64,,
Difference,NaN,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
