MOURNE MOUNTAINS (SLIEVE LAMAGAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ322255,Long,-5.976585,Lat,54.161606,Elevation,1320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6197/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,11.85,6.4,12.3,9.65,7.25,5.5,8.2,6,15.05,6.6,3.25,8.8,6.5,2.7,4.6,6.55,5.75,9.05,9.25,4.5,8.9
February,,,,,,,,,,6.55,9.65,3.3,3.4,2.3,7.1,4.25,3.3,4.9,3.15,8.1,5.3,1.25,3,8.65,8.8,2.6,4.6,8.05,1.95,6.1
March,,,,,,,,,,7.85,4.15,8.15,2.1,0.85,3.6,4.95,10.8,3.7,5.05,4.45,6.15,4.6,0.8,8.9,2.95,2.8,9.85,3.35,5.85,6.6
April,,,,,,,,,5.25,9.6,5.85,4.45,3.85,4.9,3.05,2.35,6.5,3.65,5.05,6.95,4.55,3.8,3.6,1.35,4,2.6,2.15,2.9,4.4,4.5
May,,,,,,,,,1.4,2.3,5.05,7.6,7.05,2.5,5.6,1.95,5.2,4.8,2.1,2.15,5.5,1.9,4.05,9.6,5.5,2.25,5.6,7.4,2.35,2.7
June,,,,,,,,,3.3,1.8,0.75,0.35,6.05,4.75,6.7,8.25,7.4,5.05,1.05,2.75,2.75,5.1,3.85,5.1,7.6,5.25,1.6,10.25,3,4
July,,,,,,,,,8.15,6.25,4.25,4.55,3.25,7.8,6.7,5.2,5.8,5.6,4.85,9.15,5.2,3.1,8.3,5.7,2.2,6.4,10.85,5.8,3.75,9.65
August,,,,,,,,,3.85,1.25,7.05,9.25,9.15,5.1,2.9,7.05,0.65,7.7,7.65,10.65,9.5,6.2,6.4,4.85,2.2,11.3,8.05,10.45,1.25,6.4
September,,,,,,,,,6.6,3.75,4.1,12.05,5.25,10.45,6.05,14.8,5.6,7.55,4,10.2,5.8,4.35,6.4,8.05,3.9,6.6,11.05,10.1,3.85,4.8
October,,,,,,,,,5.75,10.5,7.1,5.65,6.55,8.2,5.5,2.9,3.85,6.7,11.4,6.4,1.8,12.75,3.95,12.1,3.2,4.5,6.7,4.1,7.65,9.4
November,,,,,,,,,8.75,10.65,8,0.95,5.15,10.1,2.9,12.05,8,4.45,5.05,4.4,12.4,6,7.65,10.4,4.45,3.2,4.6,4.05,9.65,7.45
December,,,,,,,,,6.8,8.55,4.45,8.55,3.45,6.7,9.8,7.2,8.1,8.5,8.6,6.65,8.5,6.1,6.2,8.75,8.3,8.9,8.5,6.4,14,6.5
Total,,,,,,,,,,80.9,66.8,77.15,64.9,70.9,65.4,79.15,71.2,77.65,64.55,75.1,76.25,61.65,56.9,88.05,59.65,62.15,82.6,82.1,62.2,77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Jan 10.5, Feb 4.5, Mat 5 and tot est therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTM elevation is 1234' and record elevation 1320 at the NGR on record. Steep slopes around so left as on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16477,SLIEVE LAMAGAN ,01/01/1939,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
