WEST-RYDE-MIX-(BUCKLAND-GRANGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ584926,Long,-1.17379,Lat,50.7302,Elevation,90,ft,,,,,,,,,,,,,
Station no,RR4387,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.87,5.01,1.52,2.78,5.73,4.69,2.84,5.45,1.36,5.14,2.66,3.64,2.32,2.71,1,5.21,6.63,4.17,,
February,,0.26,3.2,5.6,0.49,5.66,1.99,4.7,2.18,1.16,0.95,2,0.18,3.99,0.06,3.93,2.95,5.41,0.73,,
March,,1.35,2.71,1.8,1.92,0.4,0.42,3.08,3.14,0.28,1.66,1.15,1.55,3.22,3.16,0.91,2.14,3.75,0.49,,
April,,1.06,3.65,3.53,2.77,2.75,3.1,2.16,2.34,1,2.46,3.26,2.8,0.99,2.29,3.7,1.98,2.42,0.03,,
May,,1.81,0.6,2.99,2.9,3.75,2.41,0.52,1.01,2.24,1.69,3.36,4.63,2.26,1.03,1.31,0.31,2.23,1.94,,
June,,0.06,1.41,0.37,2.24,0,2.78,2.4,2.17,1.57,0.55,1.54,1.81,1.25,1.38,2.55,3.94,1.04,0.77,,
July,,0.43,3.6,0.78,2.73,3.13,2.13,2.99,2.02,2.35,2,3.29,2.68,1.53,0.7,1.44,4.1,1.59,2.26,,
August,,2.24,3.04,2.73,3.15,4.4,1.04,2.9,2.93,1.9,4.03,3.2,1,0.88,2.83,3.63,0.33,1.03,2.36,,
September,,0.67,1.94,3.04,5.73,2.65,0.56,6.75,1.27,0.59,2.71,2.18,3.57,4.72,2.56,4.65,2.98,2.54,2.23,,
October,,1.29,1.02,6.37,5.72,3.85,3.31,2.38,7.53,3.97,3.47,0.6,7.33,2.55,2.11,5.28,1.05,3.26,4.41,,
November,,2.38,2.2,1.8,2.79,3.75,7.22,3.53,3.9,8.35,5.22,4.01,2.45,0.9,4.21,8.56,6.59,2.28,5.21,,
December,,2.11,4.55,3.92,4.99,4.39,0.42,4.21,3.51,7.08,3.67,0.89,1.24,0.69,10.15,3.91,2.93,5.81,3.51,,
Total,,17.53,32.93,34.45,38.21,40.46,30.07,38.46,37.45,31.85,33.55,28.14,32.88,25.3,33.19,40.87,34.51,37.99,28.11,,
,,,,,,,,,,,,,,,,,,,,,
Buckland Grange about 250yds NNW of Thornbrough,,,,,,,,,,,,,,,,,,,,,
1939 Gauge terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
