WEST-RYDE-MIX-(BELDORNIE-TOWER),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ586929,Long,-1.17095,Lat,50.73277,Elevation,30,ft,,,,,,,,,,,,
Station no,RR4387,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.83,2.09,2.97,0.89,6.35,0.59,0.62,0.83,2.01,1.05,3.75,4.47,0.47,3.83,0.93,1,3.42,
February,,,1.47,1.42,3.23,0.47,3.43,0.97,0.9,0.28,3.53,1.18,2.02,1.14,4.56,4.9,4.71,1.01,1.23,
March,,,1.68,2.7,0.93,4.36,1.06,0.28,2.38,3.89,1.2,1.73,3.88,2.32,5,0.49,3.25,2.63,1.1,
April,,,1.49,2.44,1.03,1.83,1.09,3.73,2.36,1.08,1.41,1.4,0.04,2.73,0.87,1.02,0.35,1.29,2.27,
May,,,1.84,2.4,3.42,0.38,1.65,2.2,1.6,1.42,1.28,1.36,0.87,2.2,0.9,3.19,1.09,1.87,1.64,
June,,,2.23,2.17,0.88,4.34,1.27,1.81,0.69,3.48,1.97,1.68,3.31,0.53,0.92,0.8,1.57,2.23,0.98,
July,,3.28,0.96,1.95,1,0.19,0.42,1.24,1.37,1.98,2.4,1.06,1.83,1.12,2.51,2.95,0.8,2.22,2.69,
August,,1.38,4.38,3.71,2.38,2.49,1.01,1.07,2.32,2.32,2.48,0.74,6.38,1.61,1.85,1.4,1.75,4.61,1.7,
September,,2.25,0.66,2.3,1.93,2.75,1.34,0.61,1.96,4.16,0.19,1.67,2.82,2.84,1.28,2.53,1.93,1.22,6,
October,,2.82,2.13,6.57,2.15,1.86,5.15,6.52,1.89,8.29,5.66,5.46,3.16,4.17,3.87,3.8,4.51,3.99,1.71,
November,,0.36,3.42,1.45,1.18,4.57,4.35,2.33,0.91,0.74,4.1,5.29,1.55,3.39,3.7,3.04,4.43,0.69,2.38,
December,,3.6,1.67,2.47,3.2,0.55,1.7,2.77,3.42,4.63,4.61,8.22,3.55,1.88,8.99,7.96,4.4,1.02,3,
Total,,,22.76,31.67,24.3,24.68,28.82,24.12,20.42,33.1,30.84,30.84,33.16,28.4,34.92,35.91,29.72,23.78,28.12,
,,,,,,,,,,,,,,,,,,,,
1901 Gauge moved from Gateacre The Nook Liverpool,,,,,,,,,,,,,,,,,,,,
About 1/3 m N of Thornbrough ,,,,,,,,,,,,,,,,,,,,
1906 Inspection Snowdon gauge on lawn surrounded by tall trees but best position available,,,,,,,,,,,,,,,,,,,,
