STRONUICH DAM,,,,,,,,,,
Grid ref,NN508422,Long,-4.428529,Lat,56.548022,Elevation,941,ft,,
Station no,5557/2/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.51,4.85,11.88,8.01,4.03,5.25
February,,,,,3.56,2.56,7.1,3.81,2.99,6.81
March,,,,,3.78,4.1,6.5,1.44,7.86,2.7
April,,,,,2.62,1.92,3.1,2.95,6.09,8.1
May,,,,,5.2,4.37,3.05,4.48,2.65,4.74
June,,,,,3.84,5.18,2.7,4.42,4.03,2.93
July,,,,,1.08,5.72,4.71,4.2,4.77,3.57
August,,,,,1.34,5.51,6.17,7.56,3.42,3.54
September,,,,,4.89,6.93,3.36,6.97,1.17,3.93
October,,,,,5.44,4.7,6.34,6.62,7.9,5.27
November,,,,,3.02,4.99,3.52,1.19,8.51,9.64
December,,,,8.81,11.48,12.77,12.21,10.02,13.75,9.24
Total,,,,,50.76,63.6,70.64,61.67,67.17,65.72
,,,,,,,,,,
Station no,5557/2/8,,,,,,,,,
Midas,15129,,,,,,,,,
Hyd Stn,862523,,,,,,,,,
