BELMONT CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 286 439,Long,-3.163107,Lat,56.582014,Elevation,203,ft,,,,,,,,,,,,
Station no,RR1041,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,,,,,,2.8,5,2.95,2.8,3.7,1,,,,1.7
February,,,,,,,,,,,1,2.7,2,3.2,3.1,2.2,,,,2.9
March,,,,,,,,,,,1,1.5,4,4.7,2.5,1.8,,,,2.1
April,,,,,,,,,,,1.8,1.3,1.5,1.4,2.45,4.6,,,,2
May,,,,,,,,,,,2.75,1.75,3.4,8.05,1.5,1,,,,6.05
June,,,,,,,,,,,1.95,2.3,3.2,2.5,8,2.8,,,,1.7
July,,,,,,,,,,,3.85,1,3.4,2.6,,1.8,,,,2.4
August,,,,,,,,,,,3.25,3,5.8,3.7,,4.4,,,,3.9
September,,,,,,,,,,,2.9,7,2.8,3.25,,1.7,,,,3.5
October,,,,,,,,,,,2.75,7,4.1,1.5,4.35,8.45,,,,4
November,,,,,,,,,,,4.4,2.8,2.2,6.25,6.05,2.8,,,,3
December,,,,,,,,,,,3,1.8,3.05,3.6,4.7,4.1,,,,1.1
Total,,27.8,34.4,30.4,23.8,26.3,29.25,32.4,24.5,43.4,31.45,37.15,38.4,43.55,,36.65,,,,34.35
