BELMONT PERTHSHIRE VALLEY OF STRATHMORE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 286 439,Long,-3.163107,Lat,56.582014,Elevation,170,ft,,,,,,,,,,,,
Station no,RR1041,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,,,,2.8,4.3,3.6,3.3,3.1,1.5,0.1,5.7,0.8,2.9,2.4,,
February,,,,,,,,1.7,2.1,1.7,3.2,2.2,1.6,5.7,2.1,2.6,1.5,3.5,,
March,,,,,,,,3,1.6,1.6,1.5,3.8,2.6,1.8,1.6,1.7,4.4,1,,
April,,,,,,,,2.5,2.9,3.3,2.9,1.8,2.3,3.9,0.4,0.5,1.4,3.1,,
May,,,,,,,,3.5,2,1.4,3.5,0.9,1.3,1.6,1.7,3.4,0.5,1.6,,
June,,,,,,,,2.1,1.1,1.4,2.9,2.9,2.2,5.7,2.8,0.7,2.1,,,
July,,,,,,,,2.4,1.6,7.4,5.7,1.5,1.2,2.1,2.2,1.6,3.6,,,
August,,,,,,,,1.6,2.7,5,2.6,1.9,2.7,1.6,1.7,2.4,1.3,,,
September,,,,,,,,1.3,1.1,3.2,7.2,2.8,1.8,3.5,2.9,5,5,,,
October,,,,,,,,5.1,2.4,2.1,0.9,6.5,3.3,2.6,1.4,2.1,3.9,,,
November,,,,,,,,2.3,3.1,3.1,6.2,3.1,2.6,2.5,3.1,3.2,5.7,,,
December,,,,,,,,4.1,3.1,1.6,5.9,6.1,2.6,4.2,,1.4,2.9,,,
Total,,,,,,,,32.4,28,35.4,45.8,36.6,25.7,35.3,,25.4,35.2,,,
,,,,,,,,,,,,,,,,,,,,
PDF does not specifically say Castle,,,,,,,,,,,,,,,,,,,,
but assumed,,,,,,,,,,,,,,,,,,,,
