BELMONT CASTLE MEIGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 286 439,Long,-3.163107,Lat,56.582014,Elevation,237,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,2.9,2.4,,2.1,1.2,2.3,3.1,1.5,3.4,5.3,1.7,1.3,4.1,2.6,2.3,,1.3,5.1,1.6,2.3,0.6,,,,,,,,,
February,0.9,2.5,,0.8,1.1,1.7,2.3,1,1.9,1.5,0.1,4.1,6.1,0.3,0.8,,2.9,1.5,1.1,2.1,3.6,,,,,,,,,
March,2.1,2.3,,1.3,1.2,1.2,3,2.6,3.6,0.8,0.7,0.8,2.2,1.7,1.7,,2.1,1.7,0.9,3.8,2,,,,,,,,,
April,0.3,0.4,,1.5,0.9,0.8,1.2,2.3,3.4,1.4,0.2,3.2,1,0.1,1.1,,2.9,2.5,1.9,2,2.5,,,,,,,,,
May,1.7,0.9,,1.4,1.4,2.1,0.5,2.9,1.7,0.4,1.8,0.7,3.2,2.6,1.7,,0.4,3,3.1,1.9,0.4,,,,,,,,,
June,5.4,2.2,,2.6,1.9,0.5,1,1.1,0.6,2.4,1.3,1.9,4.3,1,1.6,,3.1,3.6,2.4,3.1,2.1,,,,,,,,,
July,3.1,3.5,,0.3,,4.4,2.5,6.7,0.4,1.4,1.8,4.2,2,4.3,3.8,,0.7,4.5,1.3,2.1,4.1,,,,,,,,,
August,3.1,4.7,,4.7,,4.1,2.6,1.8,5.3,0.8,0.9,2.3,2.7,2.2,6.2,,2.8,5.9,5,4.7,1.4,,,,,,,,,
September,1.8,5.3,,2.5,,0.3,3.3,1.5,1.8,5.1,2.5,1.5,3.6,3.6,2.7,,2.8,2.1,2.8,2.8,2.6,,,,,,,,,
October,1.5,2.1,,3.4,,5.4,2.5,3,1.8,3,4.4,4.4,3.8,2.8,2.1,,4.5,4.4,2.6,1,0.8,,,,,,,,,
November,4.9,3.6,,0.8,,2.7,1.7,0.1,6.4,0.7,1.8,1.6,4.6,1.2,2.8,,6,4.3,1.3,1.5,2.2,,,,,,,,,
December,4.8,2.2,,1.1,,3.5,2.7,1,,2,3.7,1,5.8,2.3,2.2,,9.5,3.3,1.4,1.6,2.1,,,,,,,,,
Total,32.5,32.1,,22.5,,29,26.4,25.5,,24.8,20.9,27,43.4,24.7,29,,39,41.9,25.4,28.9,24.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_12_pt1-page-087.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_12_pt1-page-088.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
