"MORVERN (KINGAIRLOCH)",,,,,,,,,,,,
Grid ref,NM836531,Long,-5.528750,Lat,56.619627,,,,,,,
Station no,5395,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.91,10.64,9.98,10.86,7.03,8.83,17.14,15.32,4.90,7.14,,
February,7.81,4.74,8.07,7.99,7.04,5.72,5.71,5.25,6.10,11.31,,
March,5.85,9.66,3.90,9.59,2.95,3.37,11.12,1.99,8.81,2.77,,
April,7.72,5.80,6.23,3.57,6.11,4.12,3.85,5.67,8.15,9.86,,
May,1.09,2.18,7.48,4.31,5.52,8.24,3.83,7.04,2.53,3.90,,
June,3.91,6.59,2.63,8.33,4.82,6.63,5.86,2.40,6.15,6.14,,
July,6.58,5.60,10.09,6.71,1.38,9.03,7.04,3.84,11.63,7.08,,
August,9.22,5.92,10.86,7.57,1.82,5.35,6.50,10.40,5.88,5.72,,
September,10.31,8.46,14.95,17.92,12.60,8.18,6.46,8.92,3.56,5.73,,
October,4.32,11.81,8.83,18.27,10.29,9.64,14.12,13.93,14.16,2.86,,
November,10.37,4.18,18.66,15.33,5.09,10.99,5.02,5.36,14.88,12.36,,
December,20.13,12.09,13.08,15.96,14.39,15.01,12.13,9.87,19.50,15.11,,
Total,102.22,87.67,114.76,126.41,79.04,95.11,98.78,89.99,106.25,89.98,,
Calc annual,102.22,87.67,114.76,126.41,79.04,95.11,98.78,89.99,106.25,89.98,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
