"MORVERN KINGAIRLOCH",,,,,,,,,,,,
Grid ref,NM836531,Long,-5.528750,Lat,56.619627,,,,,,,
Station no,5395,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,11.95,10.55,14.87,9.11,12.89,12.54,,
February,,,,,10.66,8.45,9.11,8.82,10.40,7.64,,
March,,,,,7.72,12.95,6.07,8.58,11.78,1.54,,
April,,,,,14.15,4.72,5.18,4.72,3.08,5.34,,
May,,,,,7.81,5.17,7.00,7.11,5.41,6.48,,
June,,,,,7.53,2.94,1.58,8.29,6.71,1.66,,
July,,,,,6.13,7.92,8.12,4.15,8.33,6.03,,
August,,,,,9.91,7.55,6.77,13.75,6.64,6.18,,
September,,,,,12.26,9.42,7.84,4.05,13.94,3.67,,
October,,,,,11.17,9.78,12.54,3.72,3.38,15.98,,
November,,,,,5.75,9.11,9.80,10.87,11.23,8.87,,
December,,,,,10.84,10.38,11.48,12.42,14.19,11.23,,
Total,,,,,115.88,98.94,100.36,95.59,107.98,87.16,,
Calc annual,0.00,0.00,0.00,0.00,115.88,98.94,100.36,95.59,107.98,87.16,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,,
