CASTLE ARCHDALE AIRFIELD,,,,,,,,,,,,
Grid ref,IJ331558,Long,-5.949334,Lat,54.433436,,,,,,,
Station no,6188/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.43,5.98,1.69,3.36,3.54,3.45,4.78,,,,,
February,3.79,1.76,1.21,4.60,3.59,2.52,3.10,,,,,
March,3.62,2.10,0.58,3.79,0.93,1.58,,,,,,
April,1.94,1.71,1.31,0.89,2.94,1.53,,,,,,
May,1.98,2.17,2.30,3.11,3.52,1.87,,,,,,
June,2.27,2.71,1.24,2.42,4.27,4.95,,,,,,
July,3.27,1.78,4.57,4.74,1.63,5.24,,,,,,
August,4.37,3.49,2.95,3.27,1.15,6.41,,,,,,
September,2.76,1.77,5.16,5.85,4.43,3.75,,,,,,
October,1.66,4.20,2.79,7.22,2.81,3.28,,,,,,
November,5.01,2.16,4.61,5.86,3.28,3.49,,,,,,
December,5.19,4.59,2.78,5.05,4.92,5.92,,,,,,
Total,39.29,34.42,31.19,50.16,37.01,43.99,,,,,,
Calc annual,39.29,34.42,31.19,50.16,37.01,43.99,7.88,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
