UPPER DERWENT (HEATHERY BURN),,,,,,,,,,,,
Grid ref,NY905492,Long,-2.149435,Lat,54.837530,,,,,,,
Station no,3560/1/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.85,4.60,5.15,3.90,4.10,4.20,3.50,8.40,,
February,,,2.30,3.30,3.50,5.00,3.50,5.60,0.50,5.20,,
March,,,1.00,2.50,2.20,1.70,2.45,3.50,1.40,2.70,,
April,,,3.30,0.70,0.60,1.30,0.40,2.40,3.60,2.40,,
May,,,2.50,5.30,3.40,1.00,1.50,4.20,0.90,2.00,,
June,,,3.40,2.60,2.80,3.80,0.90,4.10,2.55,0.70,,
July,,2.67,2.55,1.70,1.00,4.80,5.40,4.30,2.05,6.10,,
August,,3.55,4.50,8.90,2.10,8.90,6.70,3.10,0.50,3.70,,
September,,-999.00,4.75,5.20,1.20,3.70,3.60,3.10,1.20,2.91,,
October,,-999.00,2.20,6.83,2.60,2.70,3.50,3.30,3.30,10.49,,
November,,4.00,4.15,6.97,1.85,1.70,3.00,0.50,6.60,5.00,,
December,,4.00,2.10,5.90,6.10,5.90,3.90,5.60,7.30,4.70,,
Total,,,34.60,54.50,32.50,44.40,38.95,43.90,33.40,54.30,,
Calc annual,0.00,14.22,34.60,54.50,32.50,44.40,38.95,43.90,33.40,54.30,,
Difference,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
