UPPER DERWENT (HEATHERY BURN),,,,,,,,,,
Grid ref,NY905492,Long,-2.149435,Lat,54.83753,Elevation,1250,ft,,
Station no,"""3560/1/2""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.85,4.6,5.15,3.9,4.1,4.2,3.5,8.4
February,,,2.3,3.3,3.5,5,3.5,5.6,0.5,5.2
March,,,1,2.5,2.2,1.7,2.45,3.5,1.4,2.7
April,,,3.3,0.7,0.6,1.3,0.4,2.4,3.6,2.4
May,,,,5.3,3.4,1,1.5,4.2,0.9,2
June,,,,2.6,2.8,3.8,0.9,4.1,2.55,0.7
July,,2.67,2.55,1.7,1,4.8,5.4,4.3,2.05,6.1
August,,3.55,4.5,8.9,2.1,8.9,6.7,3.1,0.5,3.7
September,,,4.75,5.2,1.2,,3.6,3.1,1.2,2.91
October,,,2.2,6.83,2.6,,3.5,3.3,3.3,10.49
November,,4,4.15,6.97,1.85,1.7,3,0.5,6.6,5
December,,4,2.1,5.9,6.1,5.9,3.9,5.6,7.3,4.7
Total,,,,54.5,32.5,,38.95,43.9,33.4,54.3
,,,,,,,,,,
"1952 Sept/Oct transcribed but recorded as -100, hence removed",,,,,,,,,,
1953 May June adjusted hence removed along with total,,,,,,,,,,
1956 Sept/Oct estimated hence removed along with total,,,,,,,,,,
"CEDA 1823, HEATHERYBURN until 1967",,,,,,,,,,
