PITTINGTON ELEMORE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ351441,Long,-1.455669,Lat,54.790571,Elevation,323,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.7,0.89,2.32,1.96,3.39,4.43,2.46,2.36,0.64,3.66,2.41,3.9,3.44,5.28,4.27,1.25,2.34,2.01,,,,,
February,,,,,,,,,1.09,1.58,2.66,0.91,2.14,0.67,1.09,3.45,2.54,0.85,1.38,2.38,0.47,0.31,3.31,4.33,1.84,3.38,,,,,
March,,,,,,,,,3.55,6.17,0.68,2.29,1.33,2.67,1.79,2.02,4.55,2.31,1.49,4.39,4.01,0.72,2.27,2.3,1.18,2.22,,,,,
April,,,,,,,,,2.48,2.47,2.64,1.19,0.37,3.67,0.49,0.75,1.54,2.81,1.58,1.76,3.75,1.71,2.24,2.69,2.16,3.68,,,,,
May,,,,,,,,,1.37,1.43,1.73,0.52,2.82,2.03,1.46,1.91,2.49,2.66,1.38,1.56,3.88,2.15,0.86,3.87,8.06,3.98,,,,,
June,,,,,,,,,0.35,2.41,2.27,4.49,5.36,1.3,4.85,0.43,3.2,0.88,0.34,1.04,1.05,0.79,1.74,0.84,2.94,0.13,,,,,
July,,,,,,,,,2.62,2.95,2.56,0.93,3.34,0.59,3.05,3.93,2.09,0.99,3.21,2.72,5.98,2.4,5.27,1.11,5.2,3.28,,,,,
August,,,,,,,,,1.58,3.54,2.48,1.83,4.99,2.23,2.53,2.04,1.97,6.56,1.82,3.14,1.76,6.39,3.44,3.64,3.38,4.72,,,,,
September,,,,,,,,,1.78,1.63,0.47,1.99,2.23,2.54,1.9,1.89,1.59,1.15,4.58,1.26,1.73,0.77,6.11,1.63,2.7,3.98,,,,,
October,,,,,,,,,1.29,2.88,3.74,2.82,3.35,2.87,2.59,1.73,2.77,2.25,2.87,7.95,2.69,1.11,2.12,2.98,4.3,3.19,,,,,
November,,,,,,,,,1.41,1.2,3.47,5.21,1.8,1.34,4.05,2.15,3.39,1.08,1.16,5.31,1.43,4.06,0.95,5.31,1.39,3.31,,,,,
December,,,,,,,,,1.09,4.3,2.37,3.7,1.73,0.49,4.28,7.14,2.85,2.44,3.46,4.23,5.16,1.89,5.18,3.12,3.34,4.9,,,,,
Total,,,,,,,,,20.31,31.45,27.39,27.84,32.85,24.83,30.54,29.8,29.62,27.64,25.68,39.64,35.35,27.58,37.76,33.07,38.83,38.78,,,,,
