DAVENTRY-FAWSLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP561567,Long,-1.180486,Lat,52.205679,Elevation,477,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.72,1.42,2.73,2.03,1.69,3.12,1.93,0.95,0.81,1.94,2.25,0.84,1.72,1.36,2.58,1.18,1.57,0.67,2.24,1.87,0.94,0.8,1.86,2.78,0.49,3.61,0.96,1.18,1.18,2.5,0.69,3.19,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.72,1.99,3.93,0.78,2.45,0.51,0.6,1.55,1.96,0.94,0.13,0.87,2.43,1.8,0.2,0.46,2.75,0.97,2.15,3.78,0.81,1.33,0.88,4.14,0.66,1.85,1.18,0.95,0.61,3.31,1.69,1.47,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.76,1.12,1.04,1.41,0.88,1.47,1.48,3.07,3.24,1.65,1.14,0.74,0.3,1.24,2.01,2.23,3.43,0.94,0.93,0.43,2.13,1.4,2.84,1.62,2.77,0.84,0.94,3.27,2.48,0.54,1.91,2.56,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.76,3.2,1.47,2.02,2.55,2.48,1.11,1.56,2.82,1.47,2.1,0.89,0.27,1.87,1.44,1.48,2.38,2.14,2.36,1.13,2.56,1.58,1.91,0.57,1.77,0.61,2.37,3.06,1.83,1.58,0.84,0.14,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.23,1.41,1.61,1.03,2.2,5.55,2.41,1.05,3,2.11,4.01,1.34,2.06,1.68,0.97,0.32,1.01,4.69,1.44,1.56,1.56,1.86,2.28,1.82,0.49,1.57,4.69,2.12,1.65,2.29,1.24,2.22,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.31,3.72,2.26,1.36,2.13,0.71,1.6,1.74,1.27,2.16,2.19,2.29,0.74,2.39,0.54,2.18,2.54,0.6,0.97,3.59,1.51,2.42,3.56,0.67,3.21,4.32,2.43,1.52,3.88,1.46,2.13,3.68,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.7,3.33,3.44,2.25,0.16,3.29,0.39,4.99,2.66,4.09,2.44,1.94,2.67,3.82,3.09,1.23,0.15,1.08,1.08,1.39,2.54,1.74,4.18,4.14,0.29,0.38,3.13,1.95,3.24,1.96,0.51,4,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.82,3.08,1.72,1.02,2.03,2.56,1.2,0.97,1.93,2.31,1.58,3.81,2.2,2.49,2.36,2.39,2.01,6.1,2.33,1.42,2.81,1.66,3.65,3.03,2.38,3.76,0.94,2.22,2.84,2.22,2.58,1.5,7.04,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.73,1.42,2.77,4.33,1.21,3.61,2.03,2.32,0.95,2.92,1.27,1.25,3.77,0.79,1.93,0.84,5.48,2.2,0.46,2.11,0.61,1.11,2.17,1.73,2.09,1.47,1.68,0.55,1.75,2.78,1.12,1.66,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.56,2.91,5.98,2.05,1.17,4.04,4.64,2.26,0.45,3.32,1.56,5.2,2.94,2.55,3.04,2.94,3.44,1.47,3.4,2.89,1.92,1.16,2.26,5.57,0.79,1.03,4.05,4.39,1.32,2.77,2.79,2.01,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1.9,2.78,4.73,2.83,0.99,3.86,2.06,1.95,4.23,1.08,3.24,2.15,1.29,1.53,3.28,3.69,0.91,1.22,1.88,1.42,2.05,0.64,2,1.93,1.31,3.03,3.45,1.91,1.23,0.87,3.98,3,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.67,3.43,3.29,0.66,1.76,0.6,3.68,1.59,2.09,1.57,0.64,2.8,1.47,1.94,1.89,1.8,3.38,2,2.32,1.01,3.75,3.04,0.9,1.03,1.05,0.77,1.78,3.53,1.45,3.76,4.77,3.52,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,25.82,34.68,27.37,18.04,26.73,30.74,18.61,24.56,26.96,22.65,29.47,20.58,19.49,26.66,22.49,24.3,26.82,21.48,20.02,24.89,19.66,22.11,30.8,23.36,19.74,25.08,28.3,22.64,27.27,28.88,20.7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Total adjusted for arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
