CRANLEIGH-RUFFOLD-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ044397,Long,-0.50878,Lat,51.14706,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.9,2.91,2.53,3.56,2,3.74,1.44,3.77,1.66,2.49,2.03,1.96,0.94,4.9,5.43,2.97,5.44,2.69,2.84,,,,,,,,,
February,,,,5.06,0.6,3.79,2.64,4.59,1.86,0.73,0.95,1.84,0.64,3.52,0.16,3.58,2.1,3.97,0.55,1.52,2.89,3.15,,,,,,,,,
March,,,,2.95,1.45,0.55,0.3,3.64,2.23,0.01,1.65,0.6,1.45,2.88,2.64,0.41,1.73,3.72,0.3,1.45,3.19,3.03,,,,,,,,,
April,,,,2.9,3.02,2.66,2.98,1.74,2.02,0.7,2.11,3.88,2.76,0.82,2.03,3.36,1.75,2.91,0.07,2.85,1.93,1.38,,,,,,,,,
May,,,,3.37,3.32,3.3,1.36,1.1,2.08,1.86,2.62,2.68,4.69,1.87,0.5,1.32,0.59,2.5,1.28,2.23,1.26,2.07,,,,,,,,,
June,,,,0.44,3.29,0.11,2.73,3.6,2.9,1.53,0.54,1.52,1.54,2.05,1.19,3.03,3.83,1.54,0.65,1.24,0.8,1.81,,,,,,,,,
July,,,,1.55,4.48,4.36,1.14,3.04,1.74,1.56,3.14,3.48,3.07,1.44,1.93,1.17,3.56,1.02,1.82,3.82,2.98,2.5,,,,,,,,,
August,,,,2.63,2.72,3.12,1.7,3.9,2.45,2.03,5.15,4.33,1.08,1.11,2.02,3.09,0.57,0.98,2.14,1.92,0.09,3.98,,,,,,,,,
September,,,,2.2,3.98,2.57,1.02,5.39,1.39,0.15,2.42,1.99,2.46,2.7,2.05,4.32,1.73,1.98,1.67,0.98,1.49,0.35,,,,,,,,,
October,,,,6.38,3.73,2.91,2.06,1.97,6.34,3.39,1.41,0.52,5.63,2.36,2.12,3.46,2.02,2.72,3.04,4.53,3.41,1.32,,,,,,,,,
November,,,,1.87,2.49,3.02,5.97,3.82,2.2,5.95,4.59,3.07,1.21,1.21,3.63,6.48,3.89,2.77,4.15,4.89,7.91,3.71,,,,,,,,,
December,,,,2.95,4,2.91,0.35,4.49,2.45,5.89,2.64,0.59,0.78,0.45,7.87,3.49,2.37,4.28,4.64,1.72,1.74,2.29,,,,,,,,,
Total,,,,34.2,35.99,31.83,25.81,39.28,31.4,25.24,30.99,26.16,27.8,22.44,28.1,34.65,29.04,33.82,23.28,32.59,30.38,28.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 8.30 am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
