WROUGHTON-BURDEROP-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU166801,Long,-1.762148,Lat,51.519578,Elevation,550,ft,,,,,,,,,,,,
Station no,1536,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3,1.44,1.18,3.52,4.46,0.63,4.92,0.94,,0.77,2.87,1.26,4.2,4.48,0.73,5.09,2.44,0.85,2.19,4.57
February,5.68,1.52,1.13,1.89,3.84,0.76,2.45,1.37,,0.5,4.11,2.21,2.19,1.49,3.56,5.65,4.77,1.05,1.56,1.85
March,1.23,2.28,1.43,4.49,1.71,4.18,1.76,0.81,,3.48,0.81,2.28,5.52,3.42,4.88,1.26,3.95,2.69,0.91,4.87
April,1.34,2.4,1.74,2.65,1.26,2.03,0.83,3.58,,1.71,2.9,1.2,0.04,3.73,1.29,1.16,0.93,1.42,3.41,2.14
May,1.49,1.83,2.11,3.93,2.73,0.18,1.97,2.4,,1.17,1.96,2.09,1.79,1.88,1.53,3.62,1.77,2.52,2.06,1.16
June,2.16,1.89,3.49,6.13,1.11,4.34,3.19,2.38,,4.04,4.88,1.7,3.35,0.56,1.54,0.49,1.44,3.47,0.78,1.46
July,1.31,2.86,1.13,2.17,2.62,0.59,0.87,2.45,2.45,2.64,1.6,0.04,2.77,1.61,3.28,3.32,1.35,3.97,5.57,2.4
August,2.33,2.41,3.91,4.02,2.33,4.91,1.51,1.76,4.77,2.56,3.06,2.61,5.67,0.82,2.52,2.4,3.65,5.93,1.7,3.31
September,0.68,1.77,1,2.42,1.73,1.26,0.65,0.75,2.1,3.2,0.36,1.2,1.47,2.19,0.87,1.72,1.22,1.57,7.21,1.82
October,2.7,1.65,1.8,6.85,0.87,1.75,5.76,6.18,1.17,5.02,4.33,2.33,3.53,2.78,2.95,3.19,4.64,4.35,1.77,1.13
November,2.54,0.71,2.67,2.08,1.92,4.19,4.18,2.46,1.23,0.97,3.74,3.84,2.37,1.72,4.6,2.28,4.18,0.63,2.56,1.57
December,4.67,4.01,2.43,2.2,2.03,1.18,2.02,4.69,2.33,4.01,5.89,6.48,4.27,1.71,6.66,6.11,3.95,1.31,2.81,4.89
Total,29.13,24.77,24.02,42.35,26.61,26,30.11,29.77,,30.07,36.51,27.24,37.17,26.39,34.41,36.29,34.29,29.76,32.53,31.17
