BERE REGIS BARROW HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY846950,Long,-2.219677,Lat,50.75439,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.61,1.52,1.05,4.39,3.12,2.02,2.35,,4.59,1.03,2.46,0.65,4.18,,2.45,1,2.85,5.65,1.01,8.39,1.1,1.07,0.94,3.38,1.93,5.86,6.31,0.69,3.37,1.56,0.92,4.19,6.74,4.69,3.96,4.88,1.74,4.65,5.26,4.95,2.38,5.89,1.76,4.74,2.42,2.69,2.94,2.92,0.53,5.42,6.76,3.75,6.52,3.07,4.64,4.85,7.57,2.16,2.03,3.48,3.08,5.96,0.91,0.64,4.15,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.88,0.75,1.69,0.77,0.1,1.01,4.59,,0.01,0.37,3.69,2.7,3.46,,1.51,2.04,1.9,4.58,0.54,3.65,1.48,1.24,0.52,4.46,2.03,3.46,1.8,4.88,7.04,5.14,1.23,1.67,3.52,0.48,0.35,2.88,7.1,0.5,4.79,2.16,3.47,2.85,1.59,0.81,1.87,0.04,4.27,0.05,3.46,3.16,6.35,0.83,2.08,3.37,3.74,0.09,1.27,0.4,1.79,2.13,1.61,1.05,1.68,6.19,5.83,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.21,3.63,2.55,1.32,2.26,0.72,0.41,,2.49,3.15,5.03,1.08,0.68,,2.19,2.38,4.07,1.5,4.95,1.06,0.57,3.28,4.74,0.86,2.63,5.86,2.95,5.51,0.87,4.02,3.2,1.51,4.96,2.92,1.38,2.87,1.67,1.82,0.73,0.51,3.46,2.8,0.29,1.22,1.16,1.8,4.23,3.09,1.03,4.23,3.92,0.21,0.99,2.46,3.11,2.87,0.77,0.43,1.1,1.45,8.7,1.4,1.28,1.96,4.1,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.16,2.02,2.7,3.23,0.72,1.28,0.06,,2.53,0.56,3.2,1.41,3.08,,2.93,1.96,3.54,1.01,1.95,1.24,3.65,2.2,1.55,1.75,1.56,0,3.78,1.13,0.99,0.62,1.48,1.91,2.16,3.4,0.8,3.52,3.75,3.13,2.63,3.97,2.75,1.62,0.9,2.14,2.13,2.62,1.77,1.51,4.12,1.8,2.23,0,2.31,1.17,1.58,2.35,0.76,1.81,0.73,2.48,2.85,1.89,1.73,1.9,2.6,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.08,2.08,1.03,1.31,2.65,0.82,0.8,,0.22,0.14,1.44,3.12,1.03,,1.11,2.2,3.3,2.66,0.34,2.37,1.63,2.62,1.29,1.62,0.98,1.76,2.14,1.43,2.3,2.08,2.62,1.73,0.72,1.63,2.14,0.58,1.81,5.68,4.81,2.18,0.67,1.3,2.23,2.59,3.28,3.5,1.39,0.8,1.32,0.3,3.19,1.57,1.07,1.26,2.36,4.52,2.88,0.31,2.56,3.8,2.03,2.48,3.1,1.32,2.64,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.76,3.28,0.99,2.91,2.18,1.23,1.11,,1.47,2,3.14,0.89,1.49,,1.8,3.04,2.14,0.96,1.89,1.77,2.12,0.26,4.22,3.78,2.83,3.71,0.64,1.35,1.02,1.37,1.68,0.91,0.87,2.58,0.83,0.83,0.44,2.36,0.02,3.28,2.46,1.81,1.5,0.62,3.61,2.49,1.16,1.15,4.07,1.94,0.53,0.59,2.82,0.23,2.22,0.4,0.88,2.14,2.84,4.4,2.01,1.79,0.52,0.93,0.55,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.45,4.12,2.44,3.15,2.09,,4.48,,3.3,0.6,0.53,0.27,1.39,,2.52,2.04,2.72,3.66,0.28,1.03,0.89,1.31,2.63,2.63,0.23,2.98,0.94,5.03,3.99,0.95,2.96,4.1,2.36,4.72,0.5,5.07,0.84,3.83,3.08,1.48,2.37,1.45,1.3,1.72,4.61,2.12,1.93,0.33,0.34,4.2,1.9,2.41,4.86,2.24,2.13,1.53,2.07,3,0.85,1.01,1.29,1.21,0.66,5.33,1.06,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.52,1.95,2.78,2.95,6.55,,0.88,,2.66,1.05,3.77,1.28,0.97,,2.03,3.67,4.8,3.51,3.15,0.58,1.9,3.9,2.86,2.86,0.68,7.27,2.48,2.98,1.09,3.59,5.3,2.08,2.95,1.54,3.18,2.82,2.1,2.53,2.77,0.92,3.73,3.01,1.25,3.73,4.49,0.89,0.71,2.7,3.19,0.12,1.44,2.21,3.63,0.08,4.15,4.38,1.9,2.3,1.77,4.74,0.8,3.85,0.96,3.59,5.19,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.25,1.65,0.99,2.66,1.44,,1.66,,0.06,8.16,2.81,1.48,1.58,,5.13,1.74,2.58,2.29,2.2,0.91,0.69,2.34,3.06,0.17,1.01,2.7,3.72,1.52,2.11,3.59,1.96,6.79,1.75,1.47,0.91,1.76,2.8,3.91,3.65,0.52,5.49,2.1,0.62,3.01,1.65,3.51,2.25,2.44,3.16,2.64,3.1,2.79,0.97,1.09,1.25,2.64,2.11,1.97,2.62,5.24,1.43,2.75,4.41,4.07,4.71,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.07,2.32,5.28,0.96,8.57,,4.99,,3.54,3.71,1.23,3.57,2.28,,2.6,2.52,8.34,2.01,2.2,5.45,10.22,3.32,7.53,5.46,4.09,4.33,4.75,3.11,5.47,6.41,5.04,1.86,1.35,2.61,1.46,1.55,5.7,4.95,5.12,3.85,3.12,7.03,4.35,2.21,0.5,4.79,1.41,1.83,5.81,1.08,5.61,3.6,5.83,3.8,0.74,3.95,4.49,4.04,3.7,1.87,1.2,3.06,7.07,1.36,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
