"MULL, GLENGORM CAS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM440571,Long,-6.176372,Lat,56.635517,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.8,6.2,6.1,7.3,5,4.2,9.5,6.7,,,11.2,4.2,9,7,2.2,5.5,9.2,8.9,,,,,,
February,,,,,,,4.8,5.4,1.5,5.8,4.2,5,2.1,5.3,,,7,5,11.1,6,2.7,3.5,4.5,0.5,1.4,,,,,
March,,,,,,,0.1,1,3.5,5.2,5.3,7,3.4,2.5,,,3.9,2,7.2,2,2.2,3.5,4,2.2,,,,,,
April,,,,,,,1.3,1.4,3.2,3.7,0,0.1,2.7,3.5,,,1.6,6.8,3.4,3.1,2.7,1.5,4.2,0.8,,,,,,
May,,,,,,,2.7,3,3.7,0.8,3.9,3.5,3.5,2.8,,,1.5,2.1,4.2,0,4.2,0.2,4,1.2,1.1,,,,,
June,,,,,,,7.5,1.2,3.9,2,3.1,2.3,3.8,2.6,,,2.1,2.7,2.1,0.5,3,0.9,7.2,3.2,,,,,,
July,,,,,,,6.5,6,4.4,4.5,2,4.5,4.4,0.7,,,3.9,3.6,1.1,2,2.5,4.6,2.6,4.2,,,,,,
August,,,,,,,2.8,1.7,3.3,5.9,5.2,6.5,3.3,6.9,,,5.4,4.8,7.2,0.5,1.8,3.2,3.7,5.8,,,,,,
September,,,,,,,2.3,3.6,4.4,6.6,3.8,8.1,4,5,,,9.1,5,0.8,9.5,1.7,2.3,6.6,3.1,,,,,,
October,,,,,,,3,5.5,5.8,0,6.5,4.2,7.9,3.7,,,7.1,9.1,8,3.4,8.6,5.9,5.8,9.8,,,,,,
November,,,,,,,3.7,3.4,0.7,6.3,0,7,3.5,6,,,6.7,2.5,4.1,6.6,3.5,5.6,5.9,4.5,,,,,,
December,,,,,,,7.7,8.5,11.7,4.6,1.4,4,6.4,6.6,,,10.6,4.9,8.1,8,4.1,6.5,4.5,7,,,,,,
Total,,,,,,,44.2,46.9,52.2,52.7,40.4,56.4,54.5,52.3,,,70.1,52.7,66.3,48.6,39.2,43.2,62.2,51.2,,,,,,
