"MULL, GLENGORM CAS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM440571,Long,-6.176372,Lat,56.635517,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,6.16,6.23,3.86,4.71,3.27,6.76,5.88,,,,,,3,4.1,3.33,5,5,8.5,7,3,8,,,,,,,
February,,,,8.73,4.04,3.18,3.42,6.24,4.73,3.87,,,,,,5.5,1.1,1.1,1.58,3.1,2.1,4,4.5,2.6,,,,,,,
March,,,,5.98,4.83,9.17,2.8,0.7,6.26,1.25,,,,,,2.4,0.86,1.4,2.5,4.1,6.1,6.5,1.5,2.5,,,,,,,
April,,,,1.55,5.68,2.93,2.81,4.46,1.17,4.19,,,,,,3.5,2.5,3.5,3,3.2,3.4,2,4.15,2.65,,,,,,,
May,,,,3.42,2.26,2.22,3.59,3.1,3.45,3.17,,,,,,0.5,3.62,3,2.5,5,4.6,4.4,6.8,2.2,,,,,,,
June,,,,1.25,2.65,1.7,1.2,3.8,3.59,1.65,,,,,,0.16,3,1,3.45,5.7,2.5,2.1,3.5,4.4,,,,,,,
July,,,,3.71,2.46,1.02,5.16,3.05,3.29,4.92,,,,,,3,2.52,0.6,3.2,4.1,4,3.07,3.55,4.8,,,,,,,
August,,,,6.45,6.18,4.73,3.07,9.13,5.74,3.35,,,,,,1.6,3.72,3.6,4.9,3.55,5.6,2.2,2.4,8.15,,,,,,,
September,,,,1.5,3.84,4.66,5.16,1.8,8.9,3.75,,,,,,4,4.4,6,7.6,7.65,7,4.5,3.6,7.25,,,,,,,
October,,,,9.75,5.5,5.4,6.62,3.45,2.03,8.77,,,,,,2.5,9.45,11.7,7.4,8.1,2.1,3,4.2,10.04,,,,,,,
November,,,,4.2,3.85,5.08,6.39,8.22,3.79,4.17,,,,,,2.2,8.22,8.65,9.05,4,7.9,4,4.8,5.65,,,,,,,
December,,,,4.67,3.48,4.67,6.27,7.13,9.48,5.72,,,,,,7.1,7.1,3.35,8.05,7.5,5,6,7.1,8.42,,,,,,,
Total,,47.29,45.91,57.37,51,48.62,51.2,54.35,59.19,50.69,49.14,,66.96,60.92,58.54,35.46,50.59,47.23,58.23,61,58.8,48.77,49.1,66.66,,,,,,,
