TIPPERARY HENRY STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS2007621826,Long,-7.7058081,Lat,52.347502,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,5.9,1.28,5.15,3.31,3.5,0.9,0.65,2.82,5.68,4.95,4.12,4.38,4.34,4.91,2.99,4.67,2.59,3.16,2.98,5.39,,,,,
February,,,,,,1.39,4.11,2.73,2.23,4.71,4.11,4.28,3.6,6.19,5.31,5.21,3.04,0.94,1.13,3.35,2.88,0.3,4.54,3.83,2.1,,,,,
March,,,,,,1.51,4.83,3.31,1.26,1.86,2.44,4.8,3.19,1.14,3.23,3.11,2.34,1.51,2.86,1.04,3.88,2.28,0.97,0.72,2.14,,,,,
April,,,,,,1.24,3.23,4.49,2.76,2.94,4.11,1.92,4.43,2.18,1.42,3.75,2.39,1.54,2.37,3.31,1.55,1.4,1.24,0.8,6.36,,,,,
May,,,,,,2.05,0.73,3.5,4.73,2.01,2.4,1.74,2.64,1.48,2.08,2.49,3.6,1.29,2.84,3.75,3.75,3.43,2.85,2.46,2.31,,,,,
June,,,,,,3.41,1.34,3.66,7.92,5.81,2.01,4.28,3.54,1.4,0.55,1.11,1.53,0.25,3.18,1.64,2,2.71,2.53,1.95,2.19,,,,,
July,,,,,,4.58,1.32,2.03,1.84,3.2,6.04,1.94,4.87,3.31,4.36,1.5,4.73,1.61,4.75,2.06,2.1,2.1,2.62,1.08,4.19,,,,,
August,,,,,,2.42,2.91,5.65,4.2,5.22,1.6,5.64,2.96,3.83,1.07,3.93,2.87,2.09,2.97,5.11,2.86,5.94,6.45,3.64,3.91,,,,,
September,,,,,,7.84,4.25,2.64,3.57,2.93,2.84,3.15,1.65,5.36,2.04,3.14,3.74,2.52,0.82,1.38,2.09,3.1,3.69,2.52,0.55,,,,,
October,,,,,,7.38,3.72,3.71,4.99,1.48,2.78,4.94,4.56,3.45,2.89,4.68,6.97,2.26,1.79,4.06,2.71,4.59,3.02,4.27,4.33,,,,,
November,,,,,,3.56,4.55,4.8,2.32,0.58,3.28,4.64,5.69,5.4,2.96,2.71,1.82,2.25,5.6,2.12,4.71,3.55,6.24,2.79,4.37,,,,,
December,,,,,,2.3,7.9,3.31,1.72,2.35,4.74,5.05,4.04,2.16,4.65,1.81,5.31,3.41,4.96,3.18,2.73,5.22,2.37,3.8,3.38,,,,,
Total,,,,,,43.58,40.17,44.98,40.85,36.59,37.25,43.03,43.99,41.58,35.51,37.56,42.72,24.01,38.18,33.99,35.93,37.21,39.68,30.84,41.22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Street now William O'Brien Street.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
