KINBRACE (THE HATCHERY),,,,,,,,,,,,
Grid ref,NC872285,Long,-3.922500,Lat,58.230746,,,,,,,
Station no,5800/8/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,100.00,3.45,5.28,4.83,5.10,,
February,,,,,,100.00,2.97,4.09,0.77,4.32,,
March,,,,,,100.00,3.23,5.05,1.45,1.60,,
April,,,,,,1.90,1.26,5.20,2.67,3.51,,
May,,,,,,1.50,1.39,9.20,1.59,1.47,,
June,,,,,,2.21,2.63,3.05,1.08,0.39,,
July,,,,,,6.02,3.85,2.15,2.57,3.38,,
August,,,,,,5.03,2.43,3.52,1.80,5.03,,
September,,,,,,2.20,2.88,1.55,1.39,2.22,,
October,,,,,,3.20,2.13,3.40,5.25,5.27,,
November,,,,,,2.69,2.30,1.35,7.13,3.63,,
December,,,,,,3.70,6.05,5.75,4.80,5.16,,
Total,,,,,,-999.00,34.57,49.59,35.33,41.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,328.45,34.57,49.59,35.33,41.08,,
Difference,NaN,NaN,NaN,NaN,NaN,-1327.45,0.00,0.00,0.00,0.00,,
