"GATESGARTH, BUTTERMERE",,,,,,,,,,,,,,,,,,,,
Grid ref,NY193150,Long,-3.2472,Lat,54.524,Elevation,326,ft,,,,,,,,,,,,
Station no,RR1973,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,13.78,12.81,4.34,8.25,17.54,4.13,20.7,24.76,21.16,,,,,,
February,,,,,,2.61,9.88,5.07,24.78,4.65,15.66,10.9,13.89,2.79,,,,,,
March,,,,,,9.07,15.07,2.65,8.57,3.53,3.38,6.75,0.62,3.73,,,,,,
April,,,,,,10.6,7.11,5.47,3.54,2.69,10.34,4.47,0.75,10.29,,,,,,
May,,,,,,4.9,3.69,5.32,3.17,5.42,6.2,3.7,10.45,0.85,,,,,,
June,,,,,,8.02,5.85,5.86,8.31,2.24,5.79,8.23,10.55,3.86,,,,,,
July,,,,,5.7,8.72,19.51,1.99,13.66,13.94,11.56,13.05,4.94,16.13,,,,,,
August,,,,,9.08,15.75,10.68,9.14,11.37,6.19,15.75,8.17,10.08,7.75,,,,,,
September,,,,,7.92,8.49,3.33,10.13,5.43,3.89,5.21,4.99,4.42,8.02,,,,,,
October,,,,,10.78,10.88,18.78,16.83,15.72,18.25,8.52,15.57,7.26,13.18,,,,,,
November,,,,,5.49,13.48,10.15,22.86,12.4,13.02,15.45,1.83,15.52,9.68,,,,,,
December,,,,,0.47,17.83,5.04,16.59,18.35,5.73,6.85,8.64,31.64,1.66,,,,,,
Total,,,,,,124.13,121.9,106.25,133.55,97.09,108.84,107,134.88,99.1,,,,,,
,,,,,,,,,,,,,,,,,,,,
1846 Jan 12.81,,,,,,,,,,,,,,,,,,,,
NGR at Gatesgarth Cottage as nothing on TYR files,,,,,,,,,,,,,,,,,,,,
