WEAVERTHORPE - THE SCHOOL HOUSE,,,,,,,,,,,
Grid ref,SE965710,Long,-0.525,Lat,54.126,Elevation,270,ft,,,
Station no,3405/4,,,,,,,,,,
,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956
January,,3.64,7.15,1.01,1.68,2.11,2.06,1.09,2.24,1.88,6.19
February,,3.21,1.15,0.96,4.88,3.85,0.84,2.86,2.86,2.27,3.77
March,,4.86,0.82,1.32,1.28,3.57,2.40,0.12,2.40,2.20,0.98
April,,2.78,1.44,2.19,3.00,1.61,1.06,2.99,0.36,0.67,1.18
May,1.38,0.97,2.07,1.80,2.20,4.15,,2.28,2.23,3.37,0.91
June,3.14,2.27,5.84,0.91,1.30,2.85,1.90,2.48,1.69,2.11,3.05
July,4.46,1.45,1.20,1.88,2.69,2.91,2.04,1.78,1.65,1.12,3.18
August,3.70,0.36,3.92,2.39,6.07,7.34,2.64,3.57,7.14,0.78,8.42
September,5.19,1.86,1.47,0.62,4.08,0.98,5.57,1.65,1.96,1.64,1.54
October,1.40,0.81,1.45,2.83,1.57,0.89,3.09,2.06,3.87,2.75,1.85
November,6.25,2.20,0.78,5.69,4.91,5.52,4.54,2.41,6.05,1.95,1.28
December,3.82,2.05,2.69,2.68,4.19,2.56,2.35,1.24,2.91,3.87,2.44
Total,,26.46,29.98,24.28,37.85,38.34,,24.53,35.36,24.61,34.79
,,,,,,,,,,,
TYRain_1941-1950_22_pt1/134,,,,,,,,,,,
TYRain_1951-1960_20_pt1/224,,,,,,,,,,,
,,,,,,,,,,,
# The reading for May 1952 is an estimate and has been omitted.,,,,,,,,,,,
