SLAIDBURN HAREDEN BROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD635503,Long,-2.557605,Lat,53.947506,Elevation,563,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.94,1.25,0.85,6.16,8.25,10.3,5.04,8.22,5.07,3.6,4.1,10.54,4.98,6.7,3.2,8.2,3.5,6.6,1.9,8,11,9.6,3.75,6.4,9.6,6.3,5.3,10.4,3.5,7.6,4.3,9.95,3.3,6.4,6.95,7.65,11.3,7.95,4.5,6.5,9.2,8.7,12.3,5.8,10.2,6.23,6.99,9.51,8.21,19.85,2.87,10.5,9.07,9.67,5.64,8.15,3.59,6.53,5.87,11.58,7.92,3.46,1.38,9.39,10.95,10.93,6.63,9.15,5.98,13.5,5.67,6.28,8.41,8.42,3.44,7.94,5.53,6.6,9.06,6.02,5.22,9.84
February,,,,,,,,,,5.4,5.3,8.95,5.45,4.4,5.63,6.25,1.4,4.12,1.6,4.2,1.29,1.21,4.5,6.5,10.3,1.45,6.8,7.2,6.65,4.1,4.8,2.75,2.3,8.2,6.25,4.8,6.35,4.3,6.1,6.95,9.9,9.75,2.95,3.55,6.9,8.6,7.25,2,9.2,1.85,6.1,1.05,10.15,6.55,1.52,8.39,9,4.79,9.27,1.61,0.77,9.71,0.12,6.79,0.42,11.45,3.34,10.44,3.39,7.81,2.57,7.67,2.82,5.36,4.05,9.53,8.48,0.94,5.51,4.95,8.85,5.81,3.29,3.14,5.22,3.01,1.25,5.3,9.76,1.16,6.33
March,,,,,,,,,,4.05,4.95,8.43,7.98,3.06,10.3,6.05,6,3.9,5.03,6.3,6.54,3.11,1.37,5.4,7.1,3,10.85,10.5,4.7,5.55,1.1,6.8,4.75,8.65,4.45,6.1,8.1,7.6,4.6,4.7,1.45,4.55,11.25,9.85,8.3,3.55,2.45,4.2,3.05,10.5,7.15,9.5,4.8,2.85,2.66,3.22,3.82,5.29,5.11,2.61,4.75,0.91,5.47,4.1,3.99,2.28,4.96,2.49,2.63,3.94,7.26,4.98,5.04,2.25,1.38,4.1,1.7,9.86,4.93,3.55,4.68,6.88,5.71,1.9,4.29,2.51,2.42,6.56,2.19,2.74,2.21
April,,,,,,,,,,1.65,2.76,3.39,7.02,3.14,1.35,2.54,4.95,3.4,3.12,3.5,3.05,2.11,3.6,0.95,7.2,4.2,4.35,5.4,4.2,6.9,5.85,3.55,2.55,4.1,6.45,6.75,2.75,2.85,3,5.85,4.8,5.6,1.65,6.5,2.15,4.15,5.8,2.7,1.25,3.2,8.4,3,2.85,5.35,2.72,4.35,2.7,5.28,2.47,2.56,2.95,4.75,6.62,3.44,4.08,4.77,1.41,4.79,1.65,3.71,4.78,2.37,3.85,4.18,4.31,4.85,2.22,5.05,3.07,8.13,5.54,5.37,5.47,4.66,2.17,5.22,2.44,1.24,2.57,4.05,5.35
May,,,,,,,,,,3.45,3.63,7.9,3.18,2.22,4.72,2.75,6.5,3.5,1.9,3.95,3.35,3.69,7.15,2.9,4,1.3,0.85,4.5,4.75,5,2.4,1.25,3.75,5.15,3.55,1.3,7.7,4.8,4.56,3.25,4.5,3.5,3.6,3.7,4.15,2.05,3.95,2.3,2.15,3.1,8.75,4.15,2.55,4.75,7.91,5.96,4.24,2.7,0.75,4.21,2.66,3.49,6.51,2.09,6.85,1.64,1.39,2.41,4.87,1.22,2.06,4.82,6.47,4.78,6.06,4.61,1.78,3.15,3.21,3.55,2.53,2.5,3.93,3.63,3.62,6.36,4.24,3.81,8.22,3.11,2.7
June,,,,,,,,,,7.18,6.42,5.82,7.5,5.13,0.96,5.15,3.25,0.45,2.53,1.95,6.47,1.52,7.5,2.9,5.4,3.25,4.3,6.3,4.9,2.15,3.9,3.5,1.7,2.8,2.14,3.7,3.45,11.8,4.4,2.75,2.5,5.3,9.35,4.55,2.1,1.25,4.35,4.25,3,3.1,2.85,0.65,4.12,2.4,5,0.33,3.95,5.91,11.43,2.88,2.74,7.64,1.87,4.31,3.76,6.26,5.36,4.1,7.25,5.61,0.87,0.89,1.35,6.98,5.86,6.23,4.9,4.46,9.31,1.69,5.92,1.88,5.47,3.85,6.29,4.93,4.04,3.24,5.29,4.87,2.67
July,,,,,,,,,,9.77,7.11,8.52,10,4.95,7.1,3.1,7.95,3.6,10.7,3.65,6.29,6,3.5,6.55,7.8,7.75,5.15,4.1,1.05,3.7,3.2,1.5,6.05,5.55,3.2,4.45,3.6,4.8,5.55,10.5,6.75,1.25,5.3,1.65,4.95,5.15,4.6,2.95,5.85,2.9,9.5,3.14,8.45,7.65,6.88,3.08,5.52,6.57,6.2,5.85,5.05,8.19,8.03,6.64,3.32,3.89,7.68,3.73,7.14,10.98,7.31,3.17,7.69,6.18,5.19,4.78,7.47,5.84,4.22,4.6,7.4,5.24,3.84,10.73,12.81,2.01,6.42,8.5,4.66,5.88,15.37
August,,,,,,,,,,10.21,2.79,10.34,7.77,5.9,2.52,3.99,3.25,2.55,6.95,9.15,8.3,14.7,10.15,6.7,9,8.25,5.1,10.2,9.4,2.2,7.7,6.65,4.8,9.15,6.4,6.35,6.5,7.95,6.5,5.7,9.8,4.95,9.1,2.6,4.25,5.7,4.8,10.7,5.7,7.5,4.3,8,8.5,9.19,11.01,5.51,4.57,9.61,8.45,9.63,9.52,6.73,2.1,3.97,9.45,3.45,5.33,2.73,5.61,2.34,3.93,11,9.72,11.62,4.78,3.52,11.65,0.19,7,4.35,12.23,6.84,11.03,8.18,9.42,1.07,16.55,7.42,5.1,1.04,6.63
September,,,,,,,,,,5.98,5.55,3.32,3,8.3,4.78,9.73,6.95,7.2,4.05,6.25,6.8,7.47,8.6,8.6,0.98,6.15,10.3,8.6,2.8,9.3,4.6,2.9,2.35,8.5,2.8,5.7,2.45,1.55,9.2,4.8,9.5,5.55,3.45,3.2,6.45,1.2,5.3,6.4,13.7,6.85,3.6,3.5,7.25,9.55,8.46,5.7,6.38,12.52,3.13,3.57,4.15,3.65,11,1.67,6.91,11.79,7,4.15,3.58,3.23,9.75,2.2,6.77,7.12,11.22,6.2,12.06,7.41,8.28,3.57,12.03,6.5,7.1,10.6,11.54,5.06,5.65,10.35,7.79,0.81,4.98
October,,,,,,,,,,5.6,3.8,4.66,6.08,9.28,5.9,7.73,7.35,4.3,4.5,6.9,6.8,6.25,9.2,9.65,6.9,10.1,5.25,3.45,6,5.05,10.8,5.9,6.75,14.3,5.3,5.85,11.1,5.2,3.7,9.55,5.35,7.2,7.2,3.4,2.95,2.1,15.25,11.25,8,3.45,1.8,4,1.25,12.45,7.58,9.16,5.76,7.91,10.87,10.9,12.46,5.47,11.96,6.83,11.62,13.49,7.85,2.41,18.07,2.68,6.55,8.44,12.34,6.47,9.24,8.13,1.13,1.13,5.8,9.35,6.39,2.69,5.49,2.39,15.78,4.31,5.49,10.35,7.17,8.12,4.75
