GORTIN (BELTRIM SCHOOL),,,,,,,,,,,,
Grid ref,IH490858,Long,-7.240307,Lat,54.717988,,,,,,,
Station no,6253/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.91,6.92,1.46,3.99,4.84,3.62,6.30,3.82,2.76,4.42,,
February,4.45,2.51,1.70,5.96,3.79,3.09,4.01,5.01,1.76,5.46,,
March,3.27,2.95,0.99,4.37,1.00,2.56,4.30,1.40,4.06,3.20,,
April,2.11,1.87,2.49,1.19,3.25,2.06,2.00,1.93,3.53,3.28,,
May,1.64,1.31,3.67,5.83,3.32,1.94,2.13,2.10,0.88,2.44,,
June,4.00,3.32,1.55,3.02,4.49,4.76,1.94,4.11,2.21,3.12,,
July,3.44,1.89,6.33,4.60,1.72,6.26,4.38,3.51,3.59,7.03,,
August,5.46,5.60,4.02,3.65,1.05,7.04,4.65,,1.69,5.10,,
September,2.85,2.20,4.39,6.81,5.09,3.61,5.88,3.73,1.47,3.25,,
October,2.62,6.10,3.13,7.34,3.38,3.43,4.21,3.59,6.26,4.01,,
November,7.02,3.20,4.70,6.10,2.82,2.94,1.04,1.65,6.53,4.70,,
December,6.89,5.34,4.21,5.91,5.77,6.66,5.75,5.70,8.00,6.14,,
Total,47.66,43.21,38.64,58.77,40.52,47.97,46.59,,42.74,52.15,,
Calc annual,47.66,43.21,38.64,58.77,40.52,47.97,46.59,36.55,42.74,52.15,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,0.00,-0.00,,
