ALLERMOOR-PUMPING-STATION,,,,,,,,,,
Grid ref,ST357305,Long,-2.91869,Lat,51.07098,Elevation,24,ft,,
Station no,2076/8/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.59,2.81
February,,,,,,,,,0.28,2.33
March,,,,,,,,,3.02,1.61
April,,,,,,,,,2.08,2.28
May,,,,,,,,,1.07,1.04
June,,,,,,,,,0.71,0.88
July,,,,,,,,,1.19,3.44
August,,,,,,,,,1.02,5.16
September,,,,,,,,,0.03,3.47
October,,,,,,,,,2.71,8.25
November,,,,,,,,,3.95,2.25
December,,,,,,,,,5.02,2.59
Total,,,,,,,,,23.67,36.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as ALLERMOOR P STA SRC_ID 9237,,,,,,,,,,
1959-1993,,,,,,,,,,
