BRISTOL-TYNDALLS-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST581739,Long,-2.6045164,Lat,51.462512,Elevation,250,ft,,,,,,,,,,,,,
Station no,2185,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.49,1.89,4.05,2.92,2.86,0.86,3.74,4.25,5.03,5.04,
February,,,,,,,,,,,0.49,2.17,0.06,4.29,0.26,3.11,2.43,5.09,1.24,2.1,
March,,,,,,,,,,,2.47,0.78,2.73,3.34,2.31,0.73,2.57,3.51,0.35,1.66,
April,,,,,,,,,,,2.47,2.97,3.12,1.28,2.65,5.06,2.53,2.94,0.17,3.34,
May,,,,,,,,,,,1.62,3.4,6.25,2.11,1.69,1.09,0.71,3.01,2.31,1.58,
June,,,,,,,,,,,1.15,3.71,1.36,1.38,1.25,3.41,5.38,1.75,1.73,2.19,
July,,,,,,,,,,1.62,2.4,4.99,3.04,2.3,0.82,0.7,5.91,4.24,3.71,4.19,
August,,,,,,,,,,3.43,4.37,3.6,1.06,1.06,2.43,1.96,0.48,1.15,3.39,2.71,
September,,,,,,,,,,0.39,3.85,2.52,5.91,2.76,2.29,7.28,3.45,1.91,1.81,0.87,
October,,,,,,,,,,5.57,3.12,1.07,6.73,2.91,2.22,6.12,2.87,3.29,5.64,2.48,
November,,,,,,,,,,8.26,4.66,3.99,1.93,0.67,1.14,6.23,4.38,1.92,4.81,7.19,
December,,,,,,,,,,7.06,3.54,2.02,1.95,1.29,6.74,4.1,3.38,1.99,4.07,2.37,
Total,,,,,,,,,,,34.63,33.11,38.19,26.31,26.66,40.65,37.83,35.05,34.26,35.72,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved Jun 1929,,,,,,,,,,,,,,,,,,,,,
1939 Total corrected,,,,,,,,,,,,,,,,,,,,,
