HOLKHAM HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF884429,Long,0.802878,Lat,52.950392,Elevation,39,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.5,1.67,1.92,2.72,2.6,2.55,1.2,2.65,3.86,1.1,1,3.6,1,1.14,2.15,0.53,2,2.4,4.6,2,1.98,0.8,0.5,2.1,1.8,1.25,1.7,1.72,2.5,1.43,1.5,0.16,1,1.87,3.1,1.85,2.65,,0.86,1,,,,,,,2,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.42,1.04,0.72,2.75,3.58,1.5,2.75,0.95,0.38,0.5,1.28,2,2.35,0.5,0.43,1.47,2.53,2.98,1.15,1.6,1.92,1,1.5,0.83,3.18,1.35,1.68,3.26,3.5,1,2,2,3.1,1.55,2.72,0.51,2.12,,0.52,2.37,,,,,,,2.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.35,1.4,2.92,0.58,1.37,0.47,1.54,0.35,1.4,1.69,1.65,2.55,2.25,3.28,0.8,2.4,2.77,1.25,1.21,1.92,2.35,1.63,0.68,2.3,1.72,1.05,0.77,2.5,2,0.9,0.75,1.12,1.87,1.22,1.52,1,1,1.12,1.73,2.56,,,,,,,1.27,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.27,1.58,2.55,0.35,1.95,0.82,0.21,1.35,2.22,1.7,3.9,1,1.65,1.37,1.45,0.28,0.35,1,2.17,2.45,1.08,0.95,3.05,2.6,1.07,1.25,0.85,4.47,2.79,0.8,2.25,1.8,0.87,2,1.87,1.44,0.99,1.55,0.75,1.25,,,,,,,0.75,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.73,1.95,0.95,1.57,0.89,3.72,1.15,2.2,0.9,2.1,1.7,3.75,1.7,2.5,0.7,1.4,1.48,1.47,2.92,0.25,3,0.45,1.5,1.7,2.1,1.08,0.95,0.8,1.25,3.6,2.46,0.87,0.62,1.15,1.5,0.8,1.63,2.62,2,0.72,,,,,,,1.25,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2,0.42,2.28,3.22,2,0.95,2.37,0.98,1.2,0.8,1.51,4.3,1.3,2.05,2.6,1.2,1,2.05,0.58,0.25,1.17,1.65,2.13,1.75,1.15,1.3,2.02,2.25,1.1,2.56,2.62,2.75,1.5,3.9,3.5,0.5,2.08,1.1,0.4,1,,,,,,,0.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.65,5.37,6.16,1.5,3.6,3.95,3.63,2.13,2.16,2.55,1.15,2,1.9,1.75,0.62,0.5,6.07,2.18,4.25,0.17,1.18,1.36,3.1,3.5,2,0.6,8.31,3.15,3.3,0.37,3.6,3.65,1.5,1.76,2.37,2.75,1.12,2.75,0.75,4.17,,,,,,,1.75,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.78,1.41,3.16,3.15,3.38,3.1,2.07,2.23,3.05,2.4,2.9,3.53,0.55,3.25,1.7,1,3.23,2.97,1.1,3.36,1.55,2.2,0.6,6.23,1.75,1.65,0.99,3.35,3.45,3.87,2.75,2.5,3.44,2,1.12,1.52,0.77,2.62,1.79,3.5,,,,,,,2.5,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.19,2.39,2.05,4.73,1.57,1.3,0.69,4.25,3.05,1.34,2.83,3.13,1.9,1.6,1.95,1.15,0.1,2.9,2.08,2.38,3.17,1.05,4.45,2.65,2.75,2.02,1.8,4.25,1.8,2.17,2.67,4,3.37,2.37,5.75,2.32,3.85,1.23,2.25,1.48,,,,,,,0.5,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.1,2.35,2.55,3.27,2.48,3.02,5.02,1.65,4.25,2.65,3.5,2.55,0.43,2.08,2.58,0.95,4.65,0.9,2.05,2.67,2.33,3.6,1.7,2.55,2.15,2.25,2.3,1.3,1.56,2.37,1.37,5.3,2.5,3.63,3.37,3.05,6.75,2.6,3.74,1.53,,,,,,,2.6,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
