HARROGATE PARK PARADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE310555,Long,-1.528638,Lat,53.994614,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,1.41,1.85,1.14,3.32,4.01,0.87,1.79,1.77,3.44,3.82,1.5,1.39,1.97,2.77,1.07,3.88,1.5,1.29,1.3,,,,,,,,,,,3.76,3.88,,,,,,,,,
February,,,,,,,,,,,,0.07,2.78,3.24,5.42,0.35,0.73,2.82,1.72,1.56,5.72,1.35,1.42,2.59,3.68,1.75,2.23,2.24,1.91,0.87,,,,,,,,,,,2.62,0.13,,,,,,,,,
March,,,,,,,,,,,,1.43,1.36,0.58,2.63,2.39,3.23,3.25,2.86,1.26,0.83,2.09,1.31,3.79,2.24,2.88,2.02,2.25,3.51,4.06,,,,,,,,,,,2.79,1.91,,,,,,,,,
April,,,,,,,,,,,,2.32,1.55,0.89,2.49,2.08,1.21,1.86,2.94,1.98,1.75,2.44,1.75,1.51,1.67,2.71,0.87,1.56,2.72,2.96,,,,,,,,,,,4.72,1.58,,,,,,,,,
May,,,,,,,,,,,,2.28,3.41,2.35,2.02,0.46,0.57,1.17,2.71,3.81,1.53,0.93,2.5,4.64,3.3,0.69,2.65,4.65,2.82,1.86,,,,,,,,,,,1.46,1.85,,,,,,,,,
June,,,,,,,,,,,,1.38,4.34,1.31,3.71,3.02,4.08,3.84,2.07,1.6,3.71,1.53,2.32,2.83,1.77,1.16,1.38,3.44,1.3,3.75,,,,,,,,,,,1.92,0.25,,,,,,,,,
July,,,,,,,,,,,,3.85,1.55,3.18,2.65,7,1.67,0.65,2.37,2.15,3.29,1.38,1.85,3.41,0.92,1.38,1.83,2.14,2.81,3.16,,,,,,,,,,,6.26,1.84,,,,,,,,,
August,,,,,,,,,,,,4.15,3.16,2.9,2.78,3.67,1.84,3.16,3.61,1.21,4.03,1.72,2.64,3.03,2.43,3.9,2.87,1.96,1.59,3.38,,,,,,,,,,,1.57,2.51,,,,,,,,,
September,,,,,1.82,,,,,,,2.18,1.44,1.74,1.23,1.07,3.82,3,1.08,3.49,0.45,1.08,1.08,4.12,1.24,1.88,0.61,1.07,1.77,1.84,,,,,,,,,,,0.96,1.03,,,,,,,,,
October,,,,,0.74,,,,,,0.71,4.1,6.77,2.11,4.34,4.59,3.62,1.9,4.89,3.07,3.46,1.8,3.55,7.92,0.7,1.8,4.1,7.41,1.49,2.41,,,,,,,,,,,3.1,1.66,,,,,,,,,
November,,,,,0.65,,,,,,2.52,3.17,1.81,2.15,1.57,4.16,1.62,1.91,2.94,1.38,3.52,4.37,2.09,1.77,2.89,3.99,3.64,2.94,1.63,0.96,,,,,,,,,,,2.02,2.6,,,,,,,,,
December,,,,,1.08,,,,,,0.76,4.66,0.78,3.52,2.23,3.34,4.29,2.96,3.19,3.02,3.16,3.74,1.9,1.65,1.58,0.59,2.27,3.39,1.31,4.16,,,,,,,,,,,4,4.12,,,,,,,,,
Total,,,,,,,,,,,,31,30.8,25.11,34.39,36.14,27.55,28.31,32.15,27.97,35.27,23.93,23.8,39.23,25.19,23.8,28.35,34.55,24.15,30.71,,,,,,,,,,,35.18,23.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910s sbeet could be missing - seems odd that there is not one. The observer (Mr Gledhill) also observed at the Stray and that does have data covering 1900s, 1910s and 1920s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
